,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
CSND,3.2606946085723e-06,4.47047798836098e-06,5.312563331274311e-06,2.93170608870979e-06,5.419395205914151e-06,2.8729013086453e-06,6.7487143314677204e-06,3.91609531107397e-06,6.22209840766212e-06,4.56440493872903e-06,7.95045907645715e-06,6.86859280972406e-06,5.46669036552189e-06,8.88841197003412e-06,1.06375129668547e-05,6.02720946072625e-06,1.16804312555545e-05,1.4124527679252e-05,8.78092059560395e-06,6.7362254309496104e-06,1.11350647115129e-05,7.75375611886932e-06,8.38823751927473e-06,1.05165594390481e-05,6.702e-06,7.83827756142706e-06,6.59021311768396e-06,1.08611860711986e-05,7.0481453427615096e-06,1.0074072119202199e-05,6.916379317213589e-06
GTPDPDP,,1.0593549735452599e-07,1.5e-07,,,,1.41167438782388e-07,,9.18875292270777e-08,,,1.34184963315733e-07,,1.57e-07,,,1.22826787287039e-07,1.40426124400185e-07,1.69e-07,,1.1436218464409001e-07,1.02925966179681e-07,,1.1971892637834898e-07,,9.01780667444439e-08,,2.1261701933830898e-07,9.617352319557619e-08,1.3259831679003998e-07,1.14822703508429e-07
3OAR120_reverse,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
NTD10,,5.9853556005307e-07,6.09638415064265e-07,,,,5.373470250426389e-07,,5.82e-07,,,5.32546573159313e-07,,7.48752095301787e-07,,,7.13187797150547e-07,5.89e-07,5.262406481179971e-07,,5.641867775775121e-07,5.870592145063301e-07,,4.1527502587489705e-07,,5.55496891145774e-07,3.93176371005775e-07,5.70522335224461e-07,2.61e-07,3.8079516616626797e-07,3.9850232394101796e-07
NTD11,,5.9853556005307e-07,6.09638415064265e-07,,,,5.373470250426389e-07,,5.82e-07,,,5.32546573159313e-07,,7.48752095301787e-07,,,7.13187797150547e-07,5.89e-07,5.262406481179971e-07,,5.641867775775121e-07,5.870592145063301e-07,,4.1527502587489705e-07,,5.55496891145774e-07,3.93176371005775e-07,5.70522335224461e-07,2.61e-07,3.8079516616626797e-07,3.9850232394101796e-07
PMEACPE,,7.4154848148168e-08,7.74144019129226e-08,,,,8.65219786085606e-08,,2.6691139442151104e-07,,,1.00638722486799e-07,,1.44919760380991e-07,,,7.924308857228299e-08,8.971669058900721e-08,8.066462489399951e-08,,9.911389335821151e-08,6.86173107864541e-08,,1.0099999999999999e-07,,9.73923120839994e-08,9.73923120839994e-08,2.41e-07,1.58e-07,1.0199999999999999e-07,
XTSNH,1.258e-06,1.499e-06,1.5869999999999998e-06,,1.31333532845273e-06,,6.238690036512e-07,3.6310144612426293e-07,9.23250888900638e-07,,9.41e-07,1.60183299958156e-06,,1.02651496936535e-06,5.03193612433997e-07,,1.4501485208727801e-06,1.0063872248679899e-06,5.91540582555996e-07,,8.081594381515709e-07,1.20080293876295e-06,1.71085828227559e-07,1.0924352032024299e-06,,2.2364160552622103e-07,2.27248728195999e-07,1.48831913536816e-07,9.617352319557619e-08,2.9239628830624104e-07,1.75611193601126e-07
P5CD,,5.03193612433997e-07,5.22547212912228e-07,,,,3.50641702782061e-07,,5.11944805693719e-07,,,6.33185295646113e-07,,4.83065867936637e-07,,,4.8734499471954e-07,4.446827272672529e-07,6.60681689607996e-07,,5.108177580769361e-07,4.3457630164754297e-07,,6.32265579935654e-07,,5.9517524051333e-07,5.627111364853301e-07,4.535829745883921e-07,6.1138882602902e-07,4.62394130344754e-07,3.81616632248602e-07
2DGULRy,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
2DGULRx,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
P5CR,6.24966466643024e-06,4.13678117169423e-06,3.4497792852446097e-06,5.35054342158479e-06,4.881e-06,5.46e-06,3.0464844046909e-06,4.86288818365358e-06,2.04340362614501e-06,4.84817711135808e-06,3.59280239277874e-06,2.96884231336058e-06,4.4141585008177e-06,1.6182706575877301e-06,3.2053433112045603e-06,4.077923676713681e-06,2.1831470901664e-06,1.56809172246873e-06,2.0358214854199902e-06,3.85182958531159e-06,1.71543276966135e-06,1.4333393808726002e-06,3.06444909972304e-06,2.66e-06,3.67737853544057e-06,1.9622747323591e-06,2.60434256757954e-06,1.94544572694552e-06,1.98873106893709e-06,1.24778416056268e-06,2.22891130339891e-06
GLUTRS,7.97058682095451e-06,4.31687151719692e-06,4.91581452147058e-06,7.008949196581441e-06,8.61970658099436e-06,7.01644668590208e-06,5.23685659999182e-06,7.5707957048281095e-06,6.36649309644753e-06,7.82532657524969e-06,9.4298482970131e-06,5.27514637034974e-06,7.669749282074761e-06,6.7146155643192494e-06,9.5053273388782e-06,7.967e-06,7.04867272850457e-06,6.62733292655318e-06,7.00629884793596e-06,8.637812230846629e-06,7.25056250643532e-06,6.14124931538764e-06,1.05368742443679e-05,6.04580578210661e-06,8.92572335135148e-06,7.80581345739906e-06,8.4803453966475e-06,9.0752031087568e-06,8.34305313721623e-06,7.39830608551606e-06,7.77417245518833e-06
GLCtexi,1.42906985931255e-06,1.26698854836013e-05,1.53667587797151e-05,7.80762847264496e-05,1.83665668538409e-06,6.82020888998785e-05,5.27784069512219e-06,7.64974578348093e-05,4.515615722016391e-06,7.570782290957769e-05,1.6605389210321899e-06,2.4283285080044e-05,3.5857e-05,4.854811972763201e-06,8.65493013386475e-07,6.54261518602574e-05,8.25712982923189e-06,5.92520230455226e-06,1.2722000000000001e-05,4.471375996848571e-05,6.37e-06,7.5974611331890595e-06,1.96245508849259e-07,1.1145083802534401e-05,3.7793485351089e-05,1.73863312683288e-06,1.90816789231243e-06,3.1998861410415403e-06,1.7105148054070298e-06,4.05614851103891e-06,1.67168347754918e-06
KAS15,8.80588821759494e-06,5.81056202989573e-06,6.0189999999999995e-06,4.790725680439219e-06,8.45868462501549e-06,4.50951969177597e-06,5.305163425209111e-06,4.62549918737384e-06,6.48025860882391e-06,4.38848289546414e-06,7.859884226219031e-06,5.77414670268011e-06,4.15678412925547e-06,7.85787145176929e-06,7.11012574369238e-06,4.116785159641e-06,6.6445329767859295e-06,4.755e-06,6.83728725291996e-06,4.22687321860067e-06,7.22006592386356e-06,5.23778805669933e-06,7.849820353970351e-06,5.43972871731622e-06,4.1909305834288905e-06,5.92650254644485e-06,5.43593386335508e-06,7.51246801662023e-06,7.1924056275548796e-06,5.3685318515762195e-06,5.548638290127901e-06
OMMBLHX,4.3777844281757707e-07,2.0127744497359897e-07,1.64505604064961e-07,,3.6229940095247796e-07,2.3831748793529896e-07,1.3205986208675e-07,,1.05e-07,,3.01916167460398e-07,1.34184963315733e-07,,7.64854290899675e-08,3.01916167460398e-07,,1.1094032400119601e-07,1.13121044655705e-07,1.49805731945999e-07,3.29729877437604e-07,9.911389335821151e-08,1.0673803900115101e-07,2.96884231336058e-07,1.60872307320906e-07,,1.0099999999999999e-07,5.04997173768886e-08,1.09852126658126e-07,1.3739074742225198e-07,1.0199999999999999e-07,1.21576980185395e-07
OMPHHX,,8.47483978836205e-08,1.35475203347615e-07,,,,1.36613650434569e-07,,1.70648268564573e-07,,,1.8869760466274897e-07,,2.25430738370431e-07,,,2.1399999999999998e-07,2.37944266344758e-07,2.68882082979998e-07,,1.86791568252014e-07,,,2.0950812116211e-07,,,2.2364160552622103e-07,2.23247870305224e-07,2.33564270617828e-07,,2.46531098709274e-07
PANTS,5.73137524562323e-06,4.32746506693237e-06,4.36423690784101e-06,8.18480535717966e-06,5.26340518605961e-06,8.31841820163313e-06,4.6812944215579105e-06,8.10853860207507e-06,4.77815151980804e-06,7.5427351902508105e-06,4.60925348989541e-06,3.90813705657071e-06,7.32828341484355e-06,5.71627943725021e-06,4.091e-06,6.869e-06,4.707e-06,4.06065543057202e-06,4.50569547622197e-06,6.71451041585535e-06,5.18060696437729e-06,3.8082607486482004e-06,4.28720957793765e-06,4.14526782585032e-06,6.85792636184285e-06,4.79386602813464e-06,5.19064952181019e-06,4.55709144781775e-06,5.34793484341115e-06,4.47434320245365e-06,5.10285602944812e-06
PLIPA2A180pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
TTDCEAtexi,5.93768462672116e-07,2.0848105879370603e-05,1.84246276552756e-05,8.017381150978571e-06,3.9752295382285793e-07,8.307e-06,1.4959194722585299e-05,6.50342158835434e-06,9.52129826657719e-06,5.32975897085492e-06,2.1134131722227897e-07,1.4156513629809803e-05,3.7453254242853797e-06,9.89882474380159e-06,9.56067863624594e-08,2.76575526742078e-06,1.56108884487397e-05,8.30854569367762e-06,6.33409364048596e-06,1.608e-06,5.06243270691173e-06,9.835147879391761e-06,,6.09818281239714e-06,1.055e-06,2.00556020439643e-06,1.27692142510133e-06,1.67258721879469e-06,1.43229854187697e-06,2.1623725507298802e-06,1.54672935902531e-06
ACOAD1f,1.4039101786908501e-06,1.838e-06,2.1482496530836e-06,1.67759389065172e-06,1.48945309280463e-06,1.2812911425931e-06,5.05470506607906e-07,6.97507135919574e-07,1.36081055188672e-06,1.4683692930707898e-06,1.07683433060875e-06,2.2182451748132003e-06,9.97333305506827e-07,1.62229620648721e-06,6.49119760039856e-07,1.02218213394597e-06,7.409228781508459e-07,5.5e-07,8.37375629851995e-07,6.215349452553279e-07,4.49824592933422e-07,1.10168904540474e-06,2.81788422963038e-07,1.5563460429185301e-06,5.91191734760692e-07,4.3285472037333097e-07,5.122114191084409e-07,3.04751061051576e-07,1.7517320296337098e-07,6.69791497631739e-07,4.9643933575703e-07
GLYALDtpp_reverse,,6.19722659523975e-07,6e-07,,,,3.50641702782061e-07,,3.06291764090259e-07,,,5.2e-07,,3.30095009756702e-07,,,2.65464346717148e-07,1.9893700956692898e-07,2.34311529453999e-07,,4.9137618668744106e-06,3.05e-07,,3.40450696888429e-07,,4.50890333722219e-07,3.82355002996442e-07,1.6300000000000002e-07,5.39258683632338e-07,2.61796676739309e-07,5.20079304126413e-07
PUNP1,8.9266546845791e-06,1.14463304891565e-05,1.2207283501644e-05,2.2704376561408603e-05,1.0149415162793699e-05,2.4251647833986802e-05,1.24819338613718e-05,2.28863483616483e-05,9.81008764414801e-06,2.2541e-05,9.616e-06,1.12925033190396e-05,2.2225802105507998e-05,8.80387544314521e-06,1.01997345240371e-05,2.0171e-05,1.22787165742752e-05,1.27124649838945e-05,1.0352e-05,1.88270933557518e-05,1.2926738937603699e-05,1.18593585475922e-05,7.54790418650995e-06,1.13882628717404e-05,1.8021e-05,1.0399334656969301e-05,1.0370477675611e-05,9.79455735751808e-06,9.97456826285547e-06,1.09750606820064e-05,1.0658248596253e-05
2AGPEAT181,,,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
2AGPEAT180,,,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
COBALT2abcpp,,,5.32224013151343e-08,1.0692767973797199e-06,,2.12026570047831e-06,,1.0668021621888599e-06,,9.00590129640707e-07,,,9.33737335959107e-07,,,1.05945135454444e-06,,,5.37764165959997e-08,2.71164917770243e-06,,,,8.230676188511469e-08,2.76285787002547e-06,,6.13210853862218e-08,,8.243444845335099e-08,5.0999999999999993e-08,6.7542766769664e-08
PA160abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
ADSL2r,6.934e-06,3.5488391613766098e-06,4.00135689887419e-06,8.385602037194479e-06,7.0296147657029405e-06,8.39851924008256e-06,4.16216254990654e-06,9.15431356485866e-06,3.12417599372064e-06,9.552369074231481e-06,8.26747105229057e-06,4.57906187314937e-06,1.01787967664134e-05,6.0745532893032095e-06,9.11283632117968e-06,1.07052076863843e-05,5.57475128106011e-06,7.64932305413231e-06,5.86547058157796e-06,1.2121338859408301e-05,5.70286094091863e-06,5.7562299604192105e-06,1.11759301321591e-05,6.84268488581249e-06,1.3119191507642402e-05,7.63988581458929e-06,4.9778292842932995e-06,6.849811639682511e-06,5.24489178284446e-06,8.43189296511022e-06,7.5579999999999995e-06
DSERt2pp,3.034257482977e-06,4.35394894127101e-06,3.6868608911029403e-06,3.5887037784090796e-06,3.7236327320115797e-06,3.70944420952071e-06,1.21586148886767e-06,3.3868565419225103e-06,1.68022910586656e-06,2.54276860580891e-06,2.3297864255694098e-06,3.69008649118264e-06,2.51718842268639e-06,1.80747145586292e-06,1.77124151576767e-06,1.93031571081125e-06,2.1554120091660998e-06,1.8138374401690601e-06,1.63249836094999e-06,1.4829290881783e-06,1.21223915722736e-06,1.5705740024455099e-06,,2.7423116573540503e-06,1.02575583840011e-06,1.1182080276311e-06,5.013900510991079e-07,6.378510580149261e-07,7.213014239668221e-07,1.10158601640956e-06,7.76741817851136e-07
UAGPT3,,2.75432293121767e-07,2.2740480561921001e-07,2.1624674946455602e-07,,2.2956188975282398e-07,3.23318972695147e-07,2.38702872664608e-07,3.2379415060970203e-07,2.80600532990514e-07,,2.6e-07,2.3399999999999998e-07,4.38784830042445e-07,,2.68601661145259e-07,2.41691420145463e-07,3.7837039074494293e-07,2.9192911866399805e-07,2.5240024056444696e-07,3.4689862675373995e-07,2.97341680074635e-07,,3.33e-07,2.85518488905122e-07,3.86e-07,2.52498586884443e-07,3.2600000000000003e-07,3.4e-07,3.94394993529349e-07,5.8086779421911e-07
ASPTA,2.4103000000000003e-05,1.64888601632319e-05,2.0989000000000002e-05,5.9430925412888096e-05,3.555566065458621e-05,6.0965265193848594e-05,3.0501274353691497e-05,6.28054719783321e-05,3.4361560334297196e-05,6.15147615154645e-05,3.88213871992829e-05,2.802369093247e-05,5.8066748763559e-05,3.3082e-05,3.05388203386193e-05,5.23317363004276e-05,3.40111336152239e-05,3.86951987236066e-05,3.49623531326278e-05,4.90135371028437e-05,3.31688456196076e-05,3.29515574687839e-05,2.8058075829319703e-05,2.9637916711540002e-05,4.74648131904993e-05,3.6013512735061103e-05,2.7933557954758898e-05,2.4752164667968103e-05,3.4224e-05,3.1181e-05,2.51225320999765e-05
GART,1.71589021839993e-06,2.84436810396901e-06,3.6191232894291296e-06,1.96833929914925e-06,1.58505987916709e-06,1.86082567646622e-06,5.710450588165e-06,2.21e-06,3.2073123296880003e-06,2.15514864006222e-06,1.69576247390257e-06,3.862e-06,2.28372173015344e-06,9.50029540275386e-06,2.79775648513302e-06,2.61865705059527e-06,5.000238888911061e-06,4.833e-06,6.51078758072996e-06,2.9994051005437696e-06,5.42839169777281e-06,5.436e-06,2.8581397186251e-06,5.297562492241929e-06,3.357e-06,5.43593386335508e-06,6.049144717217299e-06,8.43026481676394e-06,5.65706402511121e-06,4.6579408718552395e-06,7.52764135647906e-06
CYSDDS,7.23592414680088e-06,2.945e-06,2.74821126790875e-06,2.86077771124899e-06,6.6270598757557404e-06,2.5882329577411e-06,3.10568365321254e-06,2.70491138045824e-06,2.79163064985122e-06,2.49827648812785e-06,5.9427165628455e-06,2.85562375056293e-06,2.50384451095679e-06,2.7897053873340803e-06,5.06715967721035e-06,2.26629201874804e-06,3.28858817574974e-06,2.61348620411456e-06,3.89879020320997e-06,1.9766479558917303e-06,3.00010131049663e-06,2.7942493781372698e-06,4.47842315066257e-06,2.86577180018172e-06,2.0278791221835097e-06,2.69091351165421e-06,3.29691012017687e-06,3.49754996811517e-06,4.19385256506423e-06,2.47176862323997e-06,2.70171067078656e-06
DHPTDNRN,7.5579999999999995e-06,2.124e-06,2.99980807412575e-06,1.1154358192265301e-05,9.63615767811104e-06,1.15113614038201e-05,2.56378283982208e-06,1.136e-05,3.1198003970907797e-06,1.11392359664224e-05,9.63615767811104e-06,3.5181620069343596e-06,1.10662326244877e-05,4.01347225277356e-06,9.67641316710576e-06,1.1292072285967698e-05,3.62933345661056e-06,3.07377183409294e-06,4.64781886293997e-06,1.11253887059981e-05,4.38007167186865e-06,3.37749651982213e-06,1.06878323280981e-05,3.4681076485227897e-06,1.1622381151107598e-05,3.96062069141598e-06,5.32772018326174e-06,5.32605633442463e-06,5.18650071519e-06,3.366e-06,5.09947889110963e-06
EAR121y,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
EAR121x,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
ALATRS,7.01451895732992e-06,5.49805231269988e-06,5.77221134263229e-06,6.069e-06,7.165477041060119e-06,5.99020660250899e-06,5.760542259991e-06,6.17562784375061e-06,4.95755098163234e-06,6.38618668234484e-06,7.0346467018272796e-06,6.0383233492079595e-06,6.20940782395993e-06,7.43116326842527e-06,6.908848298718781e-06,6.19986120286954e-06,5.98285318720737e-06,7.1032214592427e-06,6.39939357492396e-06,6.57961752264992e-06,6.51864452471314e-06,6.777865476573079e-06,7.99574650157621e-06,6.45733959153218e-06,7.07337569554151e-06,8.61741605809906e-06,6.18260825599907e-06,6.903e-06,7.731664311187219e-06,8.88408722493266e-06,1.0043609418649e-05
CTBTt2rpp,,3.39e-07,3.5799999999999995e-07,1.12300526190008e-07,,9.39378477683299e-08,4.73593988173174e-07,,2.3628221801248497e-07,1.9e-07,,3.5642880880741403e-07,1.87272850110842e-07,1.85175249375711e-07,,2.69927947323705e-07,2.9716158214606105e-07,4.446827272672529e-07,4.916700945919971e-07,3.05240652197962e-07,3.5071069957521e-07,4.917573939695879e-07,,4.86358138412042e-07,3.13771533607382e-07,1.07492255559377e-06,2.3157727539973204e-06,9.49689353044445e-07,2.05055690527711e-06,7.68390246014076e-07,1.41164382548598e-06
FCLT,,,,,,,,,,,,,,,,,,,9.21881427359994e-08,,,,,,,,,6.73287227904644e-08,,,
DTMPK_reverse,2.71724550714358e-07,3.2840004179903e-07,3.4836480860815203e-07,,2.71724550714358e-07,,2.2313562904313002e-07,,3.9817929331733704e-07,,2.6669261459001797e-07,2.9352960725316503e-07,,4.99168063534525e-07,2.71724550714358e-07,,4.1206406057587103e-07,2.73050797444805e-07,5.41605338573997e-07,,4.19328010361664e-07,3.39274481110801e-07,3.06948103584738e-07,4.3772232457083704e-07,,4.4728321105244205e-07,3.82355002996442e-07,7.228978657502491e-07,3.0569441301451e-07,2.5839671989853895e-07,3.88370908925568e-07
MOHMT,1.48593073751759e-05,1.09855110756643e-05,9.83646744306073e-06,7.93373610750197e-06,1.3797568852940198e-05,7.98778724724049e-06,6.766929484859e-06,7.92e-06,1.15953310691312e-05,7.82988375574709e-06,1.09595568788125e-05,9.67389719904359e-06,7.68709913833454e-06,8.40132055319801e-06,1.0889109773071699e-05,7.02123724212872e-06,9.945e-06,7.06811492814265e-06,8.53508554830795e-06,7.04043405635741e-06,8.56191555702089e-06,7.75375611886932e-06,1.0149415162793699e-05,9.222098547582171e-06,6.701186301396331e-06,8.217000000000001e-06,6.73810514714485e-06,9.139e-06,7.347e-06,7.5615040138730305e-06,9.47625017778386e-06
DHDPS,4.247e-06,6.38261371561017e-06,9.35262743110496e-06,5.63034308176714e-06,5.27346905830829e-06,5.601208818938121e-06,1.05602351785922e-05,6.10278869312885e-06,9.95448233293341e-06,5.931549987169651e-06,6.19934530518684e-06,9.64873751842189e-06,6.83612617658219e-06,1.33527456995485e-05,6.17418562456514e-06,6.35407743640675e-06,1.2148e-05,1.5704321578754e-05,1.32251573100019e-05,6.40251291413183e-06,1.4512561231335e-05,1.38721329973281e-05,4.78537125424731e-06,1.1489275715872198e-05,6.25961047588883e-06,1.78516500927301e-05,1.7595544383175897e-05,1.2718e-05,1.72940603317759e-05,1.6755e-05,1.4346083661876598e-05
XYLt2pp,,,,,,,,,,,,,,,,,,,,,,,,,,1.2624929344222098e-07,,,,,
CFAS180E,5.98800398796456e-07,1.1123227222225199e-07,1.25798403108499e-07,,6.18928143293816e-07,,1.13844708695474e-07,,1.75e-07,,8.20205588267415e-07,1.38378243419349e-07,,1.00638722486799e-07,6.69247504537216e-07,,8.71673974295113e-08,9.751814194457301e-08,1.8053511285799898e-07,,9.530182053674179e-08,1.1436218464409001e-07,8.00077843770055e-07,1.53389874422259e-07,,2.05605992177332e-07,2.70534200233332e-07,2.51596806216998e-07,4.6369377255009995e-07,1.0879861890464802e-07,1.6885691692416e-07
CFAS180G,5.98800398796456e-07,1.1123227222225199e-07,1.25798403108499e-07,,6.18928143293816e-07,,1.13844708695474e-07,,1.75e-07,,8.20205588267415e-07,1.38378243419349e-07,,1.00638722486799e-07,6.69247504537216e-07,,8.71673974295113e-08,9.751814194457301e-08,1.8053511285799898e-07,,9.530182053674179e-08,1.1436218464409001e-07,8.00077843770055e-07,1.53389874422259e-07,,2.05605992177332e-07,2.70534200233332e-07,2.51596806216998e-07,4.6369377255009995e-07,1.0879861890464802e-07,1.6885691692416e-07
EDA,1.3551e-05,6.6262653595255795e-06,8.56880661173662e-06,1.3430070170712101e-05,1.28012455003209e-05,1.31573735054473e-05,9.27606686450726e-06,1.27388564538846e-05,1.0291403273432699e-05,1.29111251883449e-05,1.3118257476154301e-05,1.00261327277474e-05,1.2218650088177001e-05,1.02611241447541e-05,1.25194570773578e-05,1.21588912073504e-05,8.88315022895292e-06,1.06333781976362e-05,1.1535e-05,1.32066017387741e-05,8.310318750803889e-06,9.027e-06,1.5271926137371803e-05,1.0827080404341901e-05,1.30574662770954e-05,1.2242574341225699e-05,1.74007597590079e-05,1.2881e-05,1.7840188552779396e-05,1.21684455331167e-05,1.33329421603317e-05
MLTP3_reverse,2.79775648513302e-06,1.17058724576751e-06,1.6402176405300502e-06,2.7110000000000004e-06,3.27075848082098e-06,2.73676476248262e-06,8.06e-07,2.77051125623488e-06,6.87e-07,2.79037571098055e-06,3.95510179373121e-06,1.8743962063166402e-06,3.10869531688997e-06,8.93671855682778e-07,3.7739999999999998e-06,3.13205336119511e-06,8.83560437580955e-07,9.24471985634552e-07,1.17923999249799e-06,3.18927749676148e-06,1.04450795308269e-06,1.51339291012346e-06,2.46061676480224e-06,2.11e-06,2.8428332006758203e-06,8.15209723369773e-07,4.90568683089775e-07,9.709999999999999e-07,1.003e-06,1.4925810530981399e-06,7.29461881112371e-07
EDD,,1.16529047089978e-07,1.5e-07,,,,1.13844708695474e-07,,1.35643495525686e-07,,,1.63537924041049e-07,,1.40894211481519e-07,,,1.8225910371625103e-07,1.01418867622356e-07,7.63625115663195e-06,,1.60107058501726e-07,,,1.30942575726319e-07,,,2.48891464214665e-07,2.87e-07,2.1639042719004604e-07,,2.49908237047757e-07
