,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
GPDDA1pp,,3.44290366402208e-07,3.38688008369036e-07,,,,1.9125911060839699e-07,,4.0255488994719794e-07,,,3.69e-07,,3.4619720535459e-07,,,4.2e-07,2.4964644337810696e-07,4.99352439819997e-07,,2.37873344059708e-06,2.8590546161022503e-07,,4.0405137652692706e-07,,1.91177501498221e-07,2.92176936251998e-07,5.811531861913771e-07,1.6143412822114598e-07,2.82196417783931e-07,4.1876515397191703e-07
GTHOr_reverse,3.38146107555646e-06,3.57e-06,3.74976009265719e-06,2.42272618577171e-06,3.0090978023553e-06,2.211e-06,4.4171746973844105e-06,2.18815429366935e-06,3.34733142184354e-06,2.25506587632467e-06,2.6417664652784804e-06,3.58106120848861e-06,2.0705395668142702e-06,3.90075688358834e-06,2.26940319207733e-06,1.92084733254508e-06,3.92253288432801e-06,4.16987574954994e-06,4.69007176169397e-06,1.9557496984316504e-06,3.7968245301837897e-06,4.361e-06,2.5059041899213e-06,3.53170832816129e-06,1.87112375172211e-06,4.45479649717553e-06,3.7441933312293097e-06,3.494e-06,4.1251571913531096e-06,3.8555510574334604e-06,3.93774330267141e-06
CCGS,1.54480439017237e-06,7.892194552912159e-07,6.87052816977188e-07,5.19e-07,1.52970858179935e-06,6.420000000000001e-07,6.011000619121049e-07,5.968028065423661e-07,8.444901495631429e-07,5.30685095774549e-07,1.69073053777823e-06,6.62538256371429e-07,,1.15935808304793e-06,1.51964470955067e-06,5.660000000000001e-07,6.77528407293019e-07,6.67e-07,8.56581492921995e-07,,8.69152603295085e-07,7.35730054543647e-07,1.63034730428615e-06,7.9313788725656e-07,5.803826027876959e-07,8.47673827397772e-07,1.26610005709199e-06,1.08434679862537e-06,9.78909075383544e-07,7.003911091986711e-07,6.92313359389056e-07
PLIPA1A181pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
LPLIPAL1A141pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
SUCBZS,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13210853862218e-08,6.02414888125208e-08,6.182583634001331e-08,,
ORPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8e-08,,,
ALAGLUE,1.49448502892897e-06,8.104065547621209e-07,8.999424222377251e-07,,1.33346307295009e-06,,5.28239448347001e-07,,6.2133472144024e-07,,8.805888217594949e-07,5.82865934402713e-07,,3.7840159655036603e-07,6.24e-07,,5.348908478629099e-07,3.58866762356029e-07,7.83599213255995e-07,,3.66e-07,,4.6293812343927707e-07,4.56428406817454e-07,,,2.4167721887511e-07,3.61448932875125e-07,3.16e-07,,2.46531098709274e-07
HISt2rpp,1.94232734399523e-06,6.83283957936691e-07,7.06406417455419e-07,8.050759536729499e-07,2.37e-06,8.16182922018222e-07,1.9581289895621603e-07,8.77638637130117e-07,3.8067690679789296e-07,8.187683439478609e-07,2.672e-06,6.79311376785896e-07,9.129024396957199e-07,4.46835927841389e-07,2.27946706432601e-06,8.401752354697041e-07,6.57717635149949e-07,4.4078200158947e-07,5.91540582555996e-07,8.726830936243281e-07,5.29878122184285e-07,3.6214691803961895e-07,2.043e-06,8.64220999793705e-07,8.043059123525971e-07,2.52498586884443e-07,2.0921311484711e-07,7.087233977943621e-07,3.0569441301451e-07,4.65794087185524e-07,3.17451003817421e-07
TDPADGAT,,,,,,,,,,,,,,,,,7.528093414366879e-08,,,,,,,,,,,1.0276489268018301e-07,,,
