reaction,minimum,maximum
DPCOAK,1.0400000000003e-07,1.0510084664650093e-07
CHORS,5.399185833333329e-05,7.00238100260638e-05
HCO3E,7.303402777777665e-05,0.0005656934150618738
DMATT,3.9383333333335555e-08,4.052957434040035e-08
ICDHyr,0.00019413188888888882,0.0014948631970137048
PRMICI,1.2105411111111112e-05,0.00046760079741324273
TRPAS2_reverse,0.0,0.0006233899154743009
PFK,0.0,0.0016108771366148125
PGK_reverse,0.0017480214751507686,0.0028178347466915415
ACODA,3.779564444444445e-05,7.66645840755898e-05
HMBS,8.052777777777778e-08,3.652160688459319e-06
GTPCI,9.10583333333443e-08,9.20966407923627e-08
PPPGO3,0.0,3.6118967995714864e-06
DHAD1,9.7141e-05,0.00012891442353342786
DHAD2,3.2281e-05,4.5903982230615274e-05
KARA1_reverse,0.00015299707499999988,0.0007664394654748047
VALTA_reverse,0.0,0.0005633879626458082
PPNDH,3.2421375000000006e-05,5.077074543856571e-05
PGL,0.0003630992315467633,0.0012685656786293803
PGI,0.00020957392912042633,0.001494419026560531
G3PD2_reverse,2.510227777777778e-05,0.000655376432082774
PRAIi,9.947525e-06,2.4705931507161172e-05
5DOAN,3.1875e-08,5.154962420371646e-06
PRAIS,8.093186111111089e-05,9.672595348541132e-05
MPTAT,4.405555555555556e-08,4.45236370001883e-08
PSSA160,9.749361111111112e-06,2.7703009183062966e-05
MTHFR2,1.5007124999999999e-05,1.8655388154163332e-05
AIRC3_reverse,5.102393055555327e-05,0.0004600643156306306
IGPS,9.947525e-06,2.4705931507161172e-05
KARA2,5.0842575e-05,0.0006642849654743581
ACOAD3f_reverse,3.097498717939657e-05,0.0006757213904744778
AOXSr2,3.5e-10,3.5027141322381437e-10
ADSS,5.4823449999998656e-05,0.00011492514873787101
SHSL1,2.180405833333333e-05,2.69874045427089e-05
ADSK,3.78693333333334e-05,6.174045611229863e-05
AIRC2,6.346879166666641e-05,7.62182336305805e-05
DB4PS,1.263666666666856e-07,1.2744632412753198e-07
TMDS,4.7971e-06,2.1745831699966675e-05
HISTD,1.2894894444444445e-05,2.3622631993585793e-05
ASP1DC,7.5200000000016e-08,7.598058484588114e-08
PRASCSi,6.097981944444163e-05,7.325726671984094e-05
ACOAD6f_reverse,0.0,0.0006621021904748923
UAPGR,3.627877777777791e-06,1.5150430937357878e-05
CTECOAI7_reverse,0.0,0.0006688938578766902
HISTP,1.657915e-05,3.0193712191062753e-05
DHQS,6.88131527777778e-05,0.00012712687561249083
ACGS,4.190386666666667e-05,0.00012150486804175242
ACGK,4.0260577777777774e-05,0.00011687343515977419
GK1,3.4526433333333274e-05,0.0005364768208625493
FACOAE161,0.0,6.050158709919795e-05
GCALDD,1.2264999999999278e-07,1.2438154134098511e-07
NADK,7.201666666647702e-08,0.00015279589255812583
HSST,2.180405833333333e-05,2.69874045427089e-05
3OAR140,1.4267733333333332e-05,0.0006555831245435151
DXPRIi,3.649861111111134e-07,3.7579867579993e-07
PMPK,4.088333333333334e-08,0.0001727857698546593
IPPS,7.8842925e-05,0.00011778392181648359
PSERT,0.00019724971640662324,0.0003508939146256794
AICART,4.673706388888908e-05,0.0003628674465101721
NNDPR,3.227166666667595e-07,3.261791955378692e-07
PTPATi,1.0400000000003e-07,1.0510084664650093e-07
AHCYSNS,6.346666666666754e-08,3.377969756702405e-05
SERAT,3.786933333333366e-05,0.0005769837218440256
CHRPL,4.088333333333725e-08,4.109048687490453e-08
AGPR_reverse,2.547097777777778e-05,0.0003416013603988895
MTHFC,8.113032494453347e-05,0.0005821421828041466
MTHFD,8.113032494453254e-05,0.000582142182803765
OMPDC,3.7673875e-05,5.3099892768051e-05
ACOAD1f_reverse,3.097498717940622e-05,0.0006757213904744955
ADCL,7.80499999999898e-08,7.868487986360514e-08
UAMAGS,5.0944666666666675e-06,1.830214623850628e-05
DHPS2,1.2079166666666297e-07,1.2249644995335988e-07
G1PACT,1.0761133333333333e-05,3.114626387748427e-05
THDPS,5.152069444444444e-05,6.790172145305268e-05
PPNCL2,8.159999999997798e-08,8.235888924130392e-08
DHPPDA2,6.07055555555695e-08,6.107067727681522e-08
APRAUR,6.07055555555695e-08,6.107067727681522e-08
MDH,0.00021153289529300857,0.0013738740540225076
GTPCII2,5.6988888888847846e-08,5.74563017340571e-08
HSTPT,1.7105472222222222e-05,3.099676841187319e-05
MEPCT,4.3798333333333915e-07,4.5084565773278817e-07
ACOAD7f_reverse,0.0,0.0006357772904742356
PRAMPC,1.2105411111111112e-05,2.221454337983847e-05
RHCCE,6.222222222222118e-08,3.3154372501604725e-05
MECDPS,4.3798333333333915e-07,4.5084565773278817e-07
IMPD,0.0,8.31180001636964e-05
PGAMT_reverse,1.5223066666666667e-05,0.0005822104559139608
DALAt2pp,0.0,2.7205073671471455e-05
DAPDC,4.6708024999999996e-05,6.278012431964567e-05
DAPE,3.6064486111111114e-05,0.0003893588697138713
FMNAT,3.406944444444498e-08,3.407197459095118e-08
IGPDH,1.657915e-05,3.0193712191062753e-05
PPND,1.1893580555555555e-05,2.1990568522296777e-05
SHCHD2,3.5927777777777774e-08,3.599556894739212e-08
GHMT2r,0.00011123174631886392,0.0006353557488918164
MOAT2,2.972444444444445e-06,4.869760908965051e-06
IPDPS,0.0,3.757980319969072e-07
GAPD,0.0019571411233521335,0.003148719486079776
FACOAE160,0.0,5.727158709915225e-05
GRTT,3.9383333333335555e-08,4.052957434040035e-08
PNTK,8.159999999997798e-08,8.235888924130392e-08
ARGSL,3.2865777777777775e-05,0.0004326151626074157
UAMAS,3.550688888888889e-06,1.2931466570492835e-05
ARGSS,2.8757555555555555e-05,4.4018652039467705e-05
UGMDDS,3.936633333333333e-06,1.644435206946027e-05
PPC,4.835491802001108e-05,0.0005365743490569451
PRAGSr,5.1049327777775495e-05,0.00046008971285305036
TPI,0.0015366179199870335,0.0025321755535982126
BPNT,3.5115200000000256e-05,5.7340760261429484e-05
LPADSS,3.4048e-06,5.639461046307131e-06
NADS1,3.227166666667736e-07,5.3580052213547944e-05
IMPC_reverse,4.6737063888887165e-05,0.0003628674465100816
ICYSDS,9.6775e-08,2.4826293060885354e-07
PSD160,9.040316666666667e-06,2.5756324993165448e-05
PSD161,1.0655316666666666e-05,2.737132499315313e-05
MOAT,2.972444444444445e-06,4.869760908965051e-06
CPPPGO,0.0,2.8522139354123304e-06
GF6PTA,1.3385800000000002e-05,0.0001325431620247451
CDPMEK,3.64986111111137e-07,3.7578613720184437e-07
