,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
ANHMK,,,,,,,,1.8120266822491615e-07,1.649894440769163e-07,1.2254244443980866e-07,1.291238565471935e-07,1.3403819851210593e-07,1.429069859312551e-07,1.3090958232141151e-07,1.237700257560521e-07,1.5017064334432906e-07,1.605073261479806e-07,1.2107143280987686e-07,1.2858560936324518e-07,1.5983160549785232e-07,1.4121885252179906e-07,9.546504168290055e-08,1.3869595952276306e-07,1.2170145511537107e-07,1.2483591868203153e-07,8.318293607146402e-07,8.303700992385816e-07,5.549722351534551e-07,3.506756285052524e-07,3.719103989499671e-07
ARAI,,,,,,,,,,,,,,,,,,,,,,,,,,4.43665808083055e-07,,,,
MECDPS,5.455137949864884e-06,5.762219330545656e-06,3.973351461691853e-06,4.375412171677438e-06,4.544370384493103e-06,3.858310956034367e-06,3.6976912360892537e-06,2.6252405276911785e-06,2.6273238409216035e-06,2.5774897427490187e-06,2.557995667799798e-06,2.556915442381801e-06,2.4687282458346807e-06,2.433238277700521e-06,3.3014961991619086e-06,2.296771546952075e-06,2.953098452607911e-06,3.150335100390752e-06,2.7280763287643743e-06,3.152228429892083e-06,2.9607443229669304e-06,2.6329251408909986e-06,2.74343561837095e-06,2.720560465063334e-06,2.427790980152188e-06,,,,,
IMPC,5.982937196631114e-06,5.992666943254481e-06,6.4209556058876065e-06,6.997460700256949e-06,7.69520923574909e-06,8.936460816198646e-06,1.0262360901850938e-05,2.202796248115668e-06,2.4427388763604793e-06,3.1111709681716636e-06,2.4892112887783853e-06,2.675312706107417e-06,5.2012909665407544e-06,4.228312152356304e-06,4.260723650585507e-06,4.088160013080173e-06,4.529276202100978e-06,3.553290257984204e-06,4.223777253039376e-06,4.264935595451775e-06,4.511933320264807e-06,4.8337416261467756e-06,5.0763133357573565e-06,4.78435126719508e-06,5.517720588639085e-06,2.4539242897568725e-06,3.161011953949125e-06,4.497292911128847e-06,5.866080175671805e-06,7.203266881353908e-06
3OAR161,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
3OAR160,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
IMPD,1.0493757972855531e-05,1.025586935992773e-05,1.2761108876008612e-05,1.3744188145057416e-05,1.550335344376998e-05,1.6071658265153644e-05,1.8024921607944394e-05,6.618955810208117e-06,6.7623657350991695e-06,7.37647682415631e-06,8.841571208111463e-06,8.4307573795254e-06,8.855905662670885e-06,1.1831230853107566e-05,1.3025966306617954e-05,1.1431272081674718e-05,1.0589347426755423e-05,8.873285665078528e-06,1.310037446152653e-05,2.3487598908124365e-05,1.5821994308899562e-05,1.9909900642962833e-05,1.9695513205969465e-05,1.292196096795243e-05,1.3411342426859563e-05,1.4158610269861586e-05,1.6646600767180242e-05,1.8725041983338865e-05,2.2813037210113896e-05,2.7834104352425292e-05
GUI1_reverse,5.433477375081244e-07,,,2.820383899623809e-07,,2.5489438430497553e-07,2.2275980085965247e-07,5.681585561866599e-07,5.525936776546805e-07,4.310388360628052e-07,3.662593159025017e-07,4.2423414808289556e-07,3.620176125295147e-07,4.5671754098635287e-07,3.4464861726051e-07,4.74980199584167e-07,4.354911991246955e-07,4.427913185778099e-07,4.016008797526201e-07,2.2093626352388748e-07,2.8813695886184714e-07,2.5322687003192544e-07,2.4725182382976977e-07,5.494840248210839e-07,3.7980986323751327e-07,6.238594406956693e-07,9.134473646514345e-07,8.057136122293159e-07,,
ALDD19xr,,,,,,,,1.6653060184131432e-07,1.0596096261831281e-07,9.216867615985608e-08,,8.923300060496212e-08,,7.910441316728147e-08,5.82183307409101e-08,,,7.57077662343877e-08,6.049546998555933e-08,,,,,,,,,,,
PGAMT_reverse,4.564468323602993e-06,4.433327122154926e-06,4.208581079199588e-06,4.681904680973258e-06,4.860551925932221e-06,4.604962751780453e-06,4.6417520224382955e-06,2.9983983171224933e-06,2.8877991113579904e-06,2.1203349305114712e-06,1.5940736082246036e-06,2.6270690185153076e-06,2.2435390403982185e-06,1.9903090341257448e-06,1.8559652774891141e-06,2.3837741066591753e-06,2.104569163276977e-06,2.279600486874757e-06,2.699904968900969e-06,2.0119087402952406e-06,2.3796548964790832e-06,1.926753147328697e-06,2.3252010093741878e-06,2.4343180986388877e-06,2.709055946672761e-06,4.841980535646134e-06,4.9851391183836066e-06,4.959778160316933e-06,4.5653750068911665e-06,4.406466464084511e-06
