,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
CSND,2.9317060887097906e-06,2.8729013086452965e-06,3.916095311073968e-06,4.5644049387290275e-06,5.466690365521886e-06,6.027209460726249e-06,6.73622543094961e-06,2.23526547805483e-06,2.6557252496234076e-06,3.375017465044295e-06,3.1101303285387883e-06,3.433541614443378e-06,4.444990967052458e-06,5.839641115385106e-06,7.062731926707313e-06,4.390902032652583e-06,5.567894502674498e-06,3.876782757614121e-06,5.259027962813899e-06,3.2958460189892842e-06,3.919589671047254e-06,5.431177732402478e-06,3.523385717643646e-06,5.037308056148386e-06,3.4590339431914174e-06,3.261499718352194e-06,5.4169295572132195e-06,7.948395982646171e-06,1.0635248595598741e-05,8.390401251808194e-06
GTPDPDP,,,,,,,,5.397413590213082e-08,7.441459383879682e-08,7.042433679902047e-08,,6.6274792037661e-08,7.855858677319559e-08,6.184923063066685e-08,7.058363113948196e-08,8.527403203079946e-08,5.7505118511870026e-08,5.235882020288595e-08,5.98220510246811e-08,,,1.0691092455727949e-07,,6.633315796342756e-08,5.678658116159502e-08,,,,,
3OAR120_reverse,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
NTD10,,,,,,,,2.9807600568129654e-07,3.048192075321327e-07,2.6890120193871055e-07,2.915897594139266e-07,2.654975297604876e-07,3.7425528118390954e-07,3.5667314166384576e-07,2.9411471610483233e-07,2.6254414816689835e-07,2.818837247835749e-07,2.931483999710179e-07,2.083109318983267e-07,1.9610122394246773e-07,2.7697291419888493e-07,2.8465875272410547e-07,1.3105359919740032e-07,1.9015958610428e-07,1.9984216117974338e-07,,,,,
NTD11,,,,,,,,2.9807600568129654e-07,3.048192075321327e-07,2.6890120193871055e-07,2.915897594139266e-07,2.654975297604876e-07,3.7425528118390954e-07,3.5667314166384576e-07,2.9411471610483233e-07,2.6254414816689835e-07,2.818837247835749e-07,2.931483999710179e-07,2.083109318983267e-07,1.9610122394246773e-07,2.7697291419888493e-07,2.8465875272410547e-07,1.3105359919740032e-07,1.9015958610428e-07,1.9984216117974338e-07,,,,,
PMEACPE,,,,,,,,,,,1.3244930998588773e-07,,7.153400394361699e-08,,,,5.0376542335721735e-08,,5.0637364641592176e-08,,,1.2055384996482097e-07,7.925728741921142e-08,5.079535520110753e-08,,,,,,
XTSNH,,,3.6310144612426325e-07,,,,,7.492552889142216e-07,7.930137795955009e-07,3.1264033901951187e-07,4.6258807570888825e-07,7.998681797648742e-07,5.122913529468036e-07,7.252921789299629e-07,5.037007067721086e-07,2.9505967434440823e-07,4.045943489066838e-07,5.996199944530721e-07,5.458060677917903e-07,1.1449007353874596e-07,1.1187490960315708e-07,7.501837165653323e-08,,1.460281463110822e-07,8.719771189963623e-08,1.2581349891687224e-06,1.3120270250604034e-06,9.434377039525007e-07,5.026400994603195e-07,1.6957624739025696e-07
P5CD,,,,,,,,2.5220593532678704e-07,2.606929984417668e-07,1.7586730599276885e-07,2.5634432856039743e-07,3.157959246033692e-07,2.415329339683185e-07,2.440290912583454e-07,2.225754071742936e-07,3.309938441483779e-07,2.561903539668694e-07,2.1675446062876562e-07,3.158521987341278e-07,2.812473545625716e-07,2.978581544568981e-07,2.2744705643715559e-07,3.0653593134247136e-07,2.3123106474078474e-07,1.9036928814029803e-07,,,,,
2DGULRy,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
2DGULRx,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
P5CR,5.350543421584789e-06,5.459991169386358e-06,4.8628881836535804e-06,4.84817711135808e-06,4.4141585008177026e-06,4.077923676713679e-06,3.851829585311587e-06,2.069635327941029e-06,1.7251557546288822e-06,1.5232422023454472e-06,1.0226644443310761e-06,1.4846517870859898e-06,8.085918796924383e-07,1.0906424387924732e-06,7.837142995517557e-07,1.017565037174734e-06,8.577735659229985e-07,7.172033806313042e-07,1.3301146842279472e-06,1.3028566370970274e-06,9.814439716064802e-07,9.71978703905078e-07,9.935755376708683e-07,6.244700729442716e-07,1.1145907372329953e-06,6.2492117921790516e-06,4.879921334023658e-06,3.5949661253122034e-06,3.205947143539481e-06,3.063090476969469e-06
GTHOr,2.4227261857717056e-06,2.2110387009600355e-06,2.188154293669348e-06,2.255065876324673e-06,2.0705395668142664e-06,1.920847332545075e-06,1.955749698431652e-06,1.7847482916803712e-06,1.8747832783262035e-06,2.2094297995365502e-06,1.6744533183151474e-06,1.7911176634588116e-06,1.9502979308161824e-06,1.9603749574175652e-06,2.084742838491082e-06,2.344498116681025e-06,1.8993081022049427e-06,2.181287128809054e-06,1.7667146438639874e-06,1.872745947695215e-06,2.226893251413995e-06,1.7467019681190391e-06,2.063334244787376e-06,1.9271805362695967e-06,1.969023622560938e-06,3.382819698310031e-06,3.008795886187841e-06,2.643276046115785e-06,2.2679942499625106e-06,2.5051997188638967e-06
GLCtexi,7.807628472644959e-05,6.820208889987852e-05,7.649745783480934e-05,7.570782290957769e-05,3.585696249466542e-05,6.542615186025744e-05,4.4713759968485674e-05,6.334624935308571e-06,7.684080957874905e-06,2.63907973015327e-06,2.257632837143001e-06,1.2142040901631825e-05,2.428150712928003e-06,4.128584725388086e-06,2.962913210330351e-06,6.361346760182291e-06,3.1840528844966517e-06,3.7995311018870386e-06,5.5730843776523505e-06,9.53975732476123e-07,8.687574594026236e-07,1.5995355545670406e-06,8.546734920269723e-07,2.027496262856523e-06,8.360105956915164e-07,1.4280131527264398e-06,1.8351471045467867e-06,1.6607905178384068e-06,8.653923746639877e-07,1.9488688609568696e-07
KAS15,4.790725680439218e-06,4.509519691775966e-06,4.62549918737384e-06,4.388482895464137e-06,4.1567841292554695e-06,4.116785159641004e-06,4.226873218600671e-06,2.903983305105273e-06,3.00965421836905e-06,2.6520124890610762e-06,3.2407418879401347e-06,2.8875765449524912e-06,3.928372149038721e-06,3.3232372162279744e-06,2.3770242135273567e-06,3.4189317144060283e-06,3.6108716179525037e-06,2.618169734513586e-06,2.7199391829870962e-06,2.717101222236792e-06,2.9630348458622392e-06,3.7568895774530773e-06,3.5968897675145493e-06,2.6845039227669654e-06,2.7742853736805643e-06,8.803623846338993e-06,8.456168656953317e-06,7.859984864941518e-06,7.109773508163672e-06,7.847405024630669e-06
OMMBLHX,,2.383174879352992e-07,,,,,3.297298774376043e-07,1.0040036761775168e-07,8.322048205639178e-08,6.562009009207146e-08,5.261654947407663e-08,6.612802723403442e-08,,5.4796595747733684e-08,5.603392436135166e-08,7.419224903940953e-08,,5.432203770594284e-08,7.976273469957481e-08,,5.118507068414634e-08,5.497921758389763e-08,6.800841997401459e-08,5.159434505868855e-08,5.996109119976922e-08,4.4019377215726045e-07,3.598337522515512e-07,3.041805387163511e-07,3.022684029891019e-07,2.9753838303222236e-07
OMPHHX,,,,,,,,,6.749568166782937e-08,6.846620780945832e-08,8.462403882150869e-08,9.520842475261583e-08,1.1197064263881298e-07,1.0792908663544942e-07,1.1897213317237906e-07,1.3442183562692915e-07,9.309081830028942e-08,,1.0494112140352131e-07,1.1180276714976155e-07,,1.1203145110634369e-07,1.1630126769293606e-07,,1.2348506334663824e-07,,,,,
PANTS,8.184805357179662e-06,8.31841820163313e-06,8.108538602075069e-06,7.542735190250815e-06,7.328283414843545e-06,6.869032425578853e-06,6.71451041585535e-06,2.1629380172360272e-06,2.18315870994621e-06,2.3399869114685203e-06,2.3883100304937946e-06,1.9533556706677395e-06,2.8589649561494937e-06,2.352747110483224e-06,2.031146867678345e-06,2.251887444957486e-06,2.590131938911677e-06,1.903501382308559e-06,2.072989328487848e-06,2.595523152651932e-06,2.3973297975609936e-06,2.2781027717852523e-06,2.6739845955490013e-06,2.2367296068375243e-06,2.551394243340673e-06,5.7327338683767965e-06,5.264713489451936e-06,4.6103605158427656e-06,4.09207109503575e-06,4.2889204362199284e-06
PLIPA2A180pp,,,,2.4847507465037883e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
TTDCEAtexi,8.017381150978566e-06,8.30699618122649e-06,6.503421588354341e-06,5.329758970854922e-06,3.74532542428538e-06,2.765755267420784e-06,1.6080433654043544e-06,1.0423788100941938e-05,9.212434787640779e-06,7.480508118962232e-06,4.760714767238044e-06,7.077837486894529e-06,4.948929306032856e-06,7.806355519888454e-06,4.153902277899422e-06,3.16796870167034e-06,2.5321312509330156e-06,4.9176501811523075e-06,3.0490727001163216e-06,6.385328550040581e-07,1.0028702802649603e-06,8.370023327951413e-07,7.160462278779203e-07,1.081747268243666e-06,7.740907642554266e-07,5.926614367247616e-07,3.985796604089689e-07,2.1375664656196185e-07,9.329209574526301e-08,
ACOAD1f,1.6775938906517176e-06,1.2812911425931043e-06,6.97507135919574e-07,1.4683692930707864e-06,9.973333055068272e-07,1.0221821339459745e-06,6.215349452553279e-07,9.187785685558012e-07,1.0730845705160962e-06,2.5371431779873423e-07,6.803396419939131e-07,1.1085355281920952e-06,8.115909136225447e-07,3.700256020882754e-07,2.7521570019597406e-07,4.1876463837827746e-07,2.2531256411296503e-07,5.506348586971869e-07,7.781356092947734e-07,2.5679106286147846e-07,2.1566986442601197e-07,1.5315512626336158e-07,8.81018167845189e-08,3.349127486000734e-07,2.4759489728589584e-07,1.4037089012458776e-06,1.4891511766371704e-06,1.079098701864706e-06,6.477611372862841e-07,2.8415343294147804e-07
FACOAE180,,5.026221449657595e-07,5.717088393889914e-07,,5.261283851789655e-07,,,4.2358308617207084e-07,3.817255774325017e-07,4.308111466454143e-07,4.18263281848398e-07,3.1552336139663416e-07,4.939549777097087e-07,3.537411473866713e-07,3.5348376092068833e-07,3.040096065350281e-07,3.7177240191382994e-07,4.113798385288998e-07,3.1725515490262406e-07,5.160169335250568e-07,5.094880414927591e-07,4.2342679401224136e-07,4.763508951563745e-07,4.2040466336124124e-07,4.4780854368287234e-07,1.202683053078496e-06,9.909391809662701e-07,8.077767060402951e-07,7.479469855218928e-07,7.914229136361903e-07
GLYALDtpp_reverse,,,,,,,,3.0943758777256957e-07,2.995211594012171e-07,1.76140533293638e-07,1.5391161145535512e-07,2.609268544475455e-07,1.659733811252295e-07,1.3336611806715223e-07,9.9585526553798e-08,1.1640673606726924e-07,2.4567093901602384e-06,1.5334062924361763e-07,1.704685275134206e-07,1.9177267673873438e-07,2.2499427652738752e-07,8.090077585822639e-08,2.692515172607577e-07,1.3134033275895478e-07,2.5933045301212494e-07,,,,,
PUNP1,2.2704376561408552e-05,2.4251647833986785e-05,2.2886348361648295e-05,2.2540950623234262e-05,2.2225802105507968e-05,2.0171003686941513e-05,1.88270933557518e-05,5.723694922065021e-06,6.103206294811231e-06,6.241627229996339e-06,4.904474994512121e-06,5.6458113651089274e-06,4.402138999017576e-06,6.139754502580484e-06,6.357051644339604e-06,5.1761721559956665e-06,6.463483830986475e-06,5.93044168836037e-06,5.693776020307524e-06,5.184463306431521e-06,5.199252509377609e-06,4.896676263870916e-06,4.986683046907764e-06,5.488261331723946e-06,5.328550184608948e-06,8.92494382629683e-06,1.015016995321237e-05,9.617388556367253e-06,1.0198224943199815e-05,7.548407380122387e-06
COBALT2abcpp,1.069276797379723e-06,2.1202657004783114e-06,1.066802162188856e-06,9.005901296407075e-07,9.337373359591069e-07,1.0594513545444373e-06,2.7116491777024317e-06,,,,,,,,,,,,,,,,,,,,,,,
PE160abcpp,2.7946774067961086e-07,2.9335554296290393e-07,2.84607669414263e-07,3.087638300289294e-07,2.8595354510068743e-07,2.8327742275840593e-07,3.422109212519997e-07,3.361863008545872e-07,3.321319762070356e-07,1.5482880382584518e-07,1.7869936636351688e-07,3.1843769106864765e-07,2.3577639904207358e-07,1.8053556653980368e-07,1.9441216778070082e-07,3.031453426968781e-07,2.2355901061508902e-07,2.4625990426694085e-07,2.8349067644748044e-07,1.6046285196506343e-07,2.530937621249562e-07,2.6853529542428365e-07,1.4055073461296348e-07,2.9039031377018696e-07,1.1380956200688387e-07,3.46599760244537e-07,3.459959279096163e-07,3.1449600777124805e-07,3.074512971971721e-07,2.499362672959662e-07
PPND,1.1069655132242735e-06,1.1253706257836485e-06,1.2085046705201049e-06,1.2201978769737464e-06,1.5630154752626e-06,2.0448193014128484e-06,2.4923661220665143e-06,8.432200750676857e-07,9.2679554290127e-07,1.4378359018821028e-06,1.8956616059377621e-06,1.0620320518429865e-06,4.563462871163917e-06,1.1704006074404764e-06,1.1497388935265162e-06,1.4472001940506311e-06,2.350123834071946e-06,1.3817810959622199e-06,1.9517365033652764e-06,8.32181235531077e-07,8.069494124559817e-07,2.5088985462769855e-06,1.2072696714427535e-06,3.0697360326104387e-06,2.087442978399851e-06,6.030775445021452e-07,5.314730934527875e-07,5.343916164049047e-07,1.1849706379208192e-06,1.1127623545365407e-06
ADSL2r,8.385602037194476e-06,8.398519240082559e-06,9.154313564858658e-06,9.552369074231481e-06,1.0178796766413355e-05,1.0705207686384255e-05,1.2121338859408301e-05,1.7750287097980933e-06,2.0007510254388864e-06,2.0818554189724012e-06,1.5611472435849014e-06,2.288587448551372e-06,3.0377597105195418e-06,2.7877520452007716e-06,3.824525001667432e-06,2.931928644540041e-06,2.850687116259129e-06,2.877676591835134e-06,3.4204632570406556e-06,2.489672137907305e-06,3.820628260601901e-06,3.4250121283509226e-06,2.6227893682907852e-06,4.2160994806129435e-06,3.7790684578377785e-06,6.935467240816535e-06,7.027903907420662e-06,8.266967858678134e-06,9.115201331158124e-06,1.1178295142137508e-05
DSERt2pp,3.5887037784090847e-06,3.7094442095207065e-06,3.386856541922513e-06,2.5427686058089105e-06,2.5171884226863922e-06,1.9303157108112488e-06,1.4829290881783022e-06,2.1774776642479365e-06,1.8429466055395135e-06,6.073387519486168e-07,8.410115502424033e-07,1.8452319431959847e-06,9.041181550769082e-07,1.07758713995019e-06,9.077183688484747e-07,8.171134443131449e-07,6.069772949985088e-07,7.859350536024024e-07,1.3711184165125318e-06,2.506409187095074e-07,5.599516876429498e-07,3.1890781092251797e-07,3.6029006127142733e-07,5.511670034572652e-07,3.8892813675141774e-07,3.032747902139699e-06,3.7229282609541695e-06,2.330843132155517e-06,1.7722479029925368e-06,
UAGPT3,2.1624674946455602e-07,2.2956188975282393e-07,2.387028726646085e-07,2.80600532990514e-07,2.3395952651304038e-07,2.6860166114525927e-07,2.524002405644473e-07,1.3848417891670368e-07,1.1483942683770116e-07,1.6077149761974895e-07,1.619408312711498e-07,1.2986588480900734e-07,2.1989560863365665e-07,1.2007308995915178e-07,1.898678223660837e-07,1.460413827842791e-07,1.7339213228454806e-07,1.4937607350928917e-07,1.6556753396480691e-07,1.269887535895259e-07,1.936483805270188e-07,1.630595357475378e-07,1.6988365918761422e-07,1.9726549590148982e-07,2.9104178201048224e-07,,,,,
ASPTA,5.9430925412888076e-05,6.096526519384862e-05,6.280547197833205e-05,6.151476151546449e-05,5.806674876355895e-05,5.23317363004276e-05,4.901353710284365e-05,8.243291275019399e-06,1.0493522179296662e-05,1.5251251938272707e-05,1.718014570563727e-05,1.4012390592648476e-05,1.654110119439733e-05,1.70064781031305e-05,1.9348223477911732e-05,1.748033150833881e-05,1.6583831938516483e-05,1.6475168802740494e-05,1.4818359761138082e-05,1.3967247903326538e-05,1.8006251370356784e-05,1.2375745690370094e-05,1.7111914548380883e-05,1.559125008385695e-05,1.2560945221846108e-05,2.4102521161337258e-05,3.555465426736135e-05,3.881902218930442e-05,3.053947449031543e-05,2.805576113870247e-05
GART,1.96833929914925e-06,1.8608256764662182e-06,2.2100107144814617e-06,2.155148640062223e-06,2.28372173015344e-06,2.6186570505952696e-06,2.9994051005437654e-06,1.4226872455969415e-06,1.8096100287157614e-06,2.854747146305977e-06,1.6033498730799084e-06,1.930418428500957e-06,4.749845785209471e-06,2.50045622758196e-06,2.417377220664021e-06,3.2547792027467395e-06,2.713909943424797e-06,2.7184272497182388e-06,2.6493985468351033e-06,3.02421164634167e-06,2.718742463051541e-06,4.214441403069118e-06,2.828600707929318e-06,2.329293431827494e-06,3.7634660787139853e-06,1.7156889409549556e-06,1.5832987015235712e-06,1.69369938009159e-06,2.7983099981067003e-06,2.8563282216203397e-06
CYSDDS,2.8607777112489895e-06,2.588232957741102e-06,2.704911380458243e-06,2.498276488127848e-06,2.503844510956787e-06,2.2662920187480354e-06,1.9766479558917316e-06,1.4731390262120338e-06,1.374541089965136e-06,1.5533882812080092e-06,1.39546527719522e-06,1.428021539286647e-06,1.3949533323895264e-06,1.6446110602291607e-06,1.307698779848336e-06,1.9494527191941982e-06,1.5008511905408251e-06,1.3979824054534659e-06,1.4337089677097121e-06,1.648166490274852e-06,1.344753366906496e-06,1.748349750018911e-06,2.096909108688689e-06,1.2357483133463548e-06,1.3515476487526694e-06,7.233559136822436e-06,6.629324247011692e-06,5.942263688594313e-06,5.068015106351486e-06,4.479328899164953e-06
DHPTDNRN,1.1154358192265347e-05,1.151136140382013e-05,1.1360040296605447e-05,1.113923596642241e-05,1.1066232624487748e-05,1.1292072285967722e-05,1.1125388705998112e-05,1.0617914899844108e-06,1.5007265650832004e-06,1.281709268377129e-06,1.5601189783768834e-06,1.7593954994749514e-06,2.007541236166674e-06,1.81440918826742e-06,1.5369639315600266e-06,2.3247736953081355e-06,2.1905314054011187e-06,1.6879096038903415e-06,1.7338106451921886e-06,2.663228845163661e-06,1.9804365950014294e-06,2.663648300185384e-06,2.5938170944281176e-06,1.6825876411445849e-06,2.549638131404662e-06,7.55585464558641e-06,9.638120133199532e-06,9.633842987493843e-06,9.674853266907215e-06,1.069029797679902e-05
EAR121y,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
EAR121x,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
ALATRS,6.069006331387182e-06,5.990206602508989e-06,6.175627843750612e-06,6.386186682344839e-06,6.209407823959934e-06,6.1998612028695354e-06,6.579617522649915e-06,2.748602414360522e-06,2.886637895329297e-06,2.880908660364198e-06,2.479213050479154e-06,3.0188262121956917e-06,3.71598418910258e-06,2.9923973214386935e-06,3.551864276790406e-06,3.2004842278478505e-06,3.259150719079605e-06,3.389599851030296e-06,3.2281647315454332e-06,3.0919894813067937e-06,4.308924456409714e-06,3.451996771721943e-06,3.864973463422217e-06,4.441873614624294e-06,5.021433224107286e-06,7.015173109026082e-06,7.16628215084001e-06,7.035753727774631e-06,6.909401811692454e-06,7.9946897949901e-06
CTBTt2rpp,1.1230052619000837e-07,9.39378477683299e-08,,1.899941429249772e-07,1.8727285011084233e-07,2.699279473237052e-07,3.0524065219796243e-07,1.6912602152650022e-07,1.802062124529251e-07,2.3681976302832593e-07,1.1709096581507617e-07,1.7716608437780306e-07,9.31512015337815e-08,1.4792703559230925e-07,2.2230235637684869e-07,2.4548934176073845e-07,1.7609870398779153e-07,2.4681265482605397e-07,2.4295459621906134e-07,1.1577601277052172e-06,5.375875270903278e-07,4.7555339992001674e-07,1.0247975850225757e-06,3.836511299125149e-07,7.054335418340632e-07,,,,,
ASPO6,,,,,,,,,,,,,5.627717361461821e-08,,,,,,,5.23934567785219e-08,,5.264043037117625e-08,6.963993509965383e-08,6.223620997029941e-08,5.999486258315405e-08,,,,,
DTMPK_reverse,,,,,,,,1.6478266613496467e-07,1.7512589232738954e-07,1.1149950769634764e-07,1.9996476598464052e-07,1.4590518120534099e-07,2.502482473356753e-07,2.0569524716150352e-07,1.3592078624234585e-07,2.710331396438383e-07,2.1017863501173042e-07,1.6994220638111803e-07,2.1858057105171946e-07,1.916464274452921e-07,2.2351535623277865e-07,3.605807467128265e-07,1.5224612198728267e-07,1.2986135153321963e-07,1.9438808276309305e-07,2.738379638865811e-07,2.7403924133155467e-07,2.6719580820245236e-07,2.729322153841999e-07,3.094137522856647e-07
MOHMT,7.933736107501973e-06,7.987787247240494e-06,7.920014439752086e-06,7.829883755747093e-06,7.687099138334543e-06,7.0212372421287185e-06,7.040434056357405e-06,5.4920404732250125e-06,4.917387001509441e-06,3.384284424332106e-06,5.797424876750972e-06,4.837934020346145e-06,4.1999558055416e-06,4.973117941847192e-06,3.5345255511526606e-06,4.267254686207923e-06,4.281777374167058e-06,3.8771067838039455e-06,4.6111240981200734e-06,3.3699182830131697e-06,4.108747183850399e-06,4.5699193413178235e-06,3.6734335876721717e-06,3.7813469993836517e-06,4.737838032133159e-06,1.4858703542841007e-05,1.3795606397851704e-05,1.0961670291984674e-05,1.0889160092432936e-05,1.0148811330458797e-05
DHDPS,5.6303430817671425e-06,5.601208818938121e-06,6.102788693128845e-06,5.931549987169651e-06,6.836126176582192e-06,6.3540774364067475e-06,6.402512914131829e-06,3.190485857700588e-06,4.675708915537536e-06,5.280595737072624e-06,4.978269431674725e-06,4.824033296802656e-06,6.676091061351308e-06,6.074616683774066e-06,7.852550861944798e-06,6.613270066071479e-06,7.256966788775389e-06,6.9365048870385375e-06,5.744993273498763e-06,8.798006654561482e-06,8.9267268270325e-06,6.359197867559359e-06,8.647081687418249e-06,8.378343644868085e-06,7.173801687064475e-06,4.249319098921373e-06,5.273016184057097e-06,6.201257440914091e-06,6.175242331151253e-06,4.787283389974559e-06
XYLt2pp,,,,,,,,,,,,,,,,,,,,,6.343125214804182e-08,,,,,,,,,
CFAS180E,,,,,,,,5.5165910247369226e-08,6.289920155424962e-08,5.746880894947548e-08,8.703061696793216e-08,7.006971053143407e-08,5.118485425678617e-08,,,8.986423330452943e-08,,5.729545450668918e-08,7.718129534954168e-08,1.3496049468973472e-07,1.0321781519569043e-07,1.256743765138852e-07,2.315549309367775e-07,5.513030017308958e-08,8.419205877838618e-08,5.996055085763507e-07,6.200351692411709e-07,8.201049495449281e-07,6.702035724008403e-07,8.003797599375154e-07
CFAS180G,,,,,,,,5.5165910247369226e-08,6.289920155424962e-08,5.746880894947548e-08,8.703061696793216e-08,7.006971053143407e-08,5.118485425678617e-08,,,8.986423330452943e-08,,5.729545450668918e-08,7.718129534954168e-08,1.3496049468973472e-07,1.0321781519569043e-07,1.256743765138852e-07,2.315549309367775e-07,5.513030017308958e-08,8.419205877838618e-08,5.996055085763507e-07,6.200351692411709e-07,8.201049495449281e-07,6.702035724008403e-07,8.003797599375154e-07
EDA,1.3430070170712054e-05,1.3157373505447272e-05,1.2738856453884562e-05,1.2911125188344905e-05,1.2218650088176977e-05,1.2158891207350437e-05,1.3206601738774145e-05,3.3120733247892448e-06,4.28353239384679e-06,4.637805742836236e-06,5.146708023941219e-06,5.012626069462814e-06,5.13118603245645e-06,4.441713789881462e-06,5.316025975452899e-06,5.767808767867015e-06,4.155006892489085e-06,4.513856367538132e-06,5.4141200907206e-06,8.700704520544227e-06,6.121683954106526e-06,6.440665622135822e-06,8.920901447030797e-06,6.084188766989953e-06,6.667247821983688e-06,1.3548588653507852e-05,1.2799132087148657e-05,1.3115741508092127e-05,1.252152017116882e-05,1.527232869226175e-05
MLTP3_reverse,2.711024466590948e-06,2.7367647624826212e-06,2.7705112562348756e-06,2.790375710980552e-06,3.10869531688997e-06,3.1320533611951104e-06,3.18927749676148e-06,5.842872356588863e-07,8.190443722387209e-07,4.0353395444197847e-07,3.425217041855068e-07,9.365481447422584e-07,4.4633273422895525e-07,4.4162173261333295e-07,4.631526633515551e-07,5.890822320830364e-07,5.225589423670629e-07,7.574779299901315e-07,1.0557712819990625e-06,2.4497773611795633e-07,4.079114671118175e-07,4.863082774815463e-07,5.007721005106796e-07,7.462055276280502e-07,3.6434256964726006e-07,2.797052014075615e-06,3.26899730317746e-06,3.952585825669046e-06,3.7725431511401613e-06,2.4591071839649427e-06
