,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0026,8.743472199430592e-06,1.3342623456131402e-05,7.616018983549935e-06,4.079867171549988e-06,8.997147633742727e-06,9.070058195815635e-06,7.78269993628744e-06,8.039798070726574e-06,8.488991205439525e-06,9.533260469735371e-06,9.401925822181894e-06,8.412251375221184e-06,9.056538432894029e-06,8.867370452308454e-06,8.040247183809306e-06,8.428440198543137e-06,9.156917297604316e-06,8.66700310141174e-06,8.924533631490724e-06,7.980829178734016e-06,7.825438841690165e-06,7.262762306087045e-06,7.2059642050238836e-06,6.956587741714687e-06,7.097931495343576e-06,6.9866734648435676e-06,6.982280619532681e-06,2.9154408912410227e-06,3.017274698557354e-06,2.340379975304858e-06,2.597761216191106e-06,3.089107863626481e-06,2.9493490303745513e-06,2.8579719874209577e-06,3.8659358856079115e-06,3.2829024841446826e-06,3.059339149085145e-06,3.1138081678129397e-06,3.457683471621745e-06,3.0978047369109005e-06,3.080704685195351e-06,3.762499478778432e-06,4.425290233736745e-06,3.838126996925255e-06,3.476088952843535e-06,3.43642137788751e-06,4.9805698502116396e-06,3.320239186043656e-06,3.1835666836834047e-06,3.0871519342474787e-06,2.8645396752087783e-06,3.385519466929469e-06,3.0746399244886196e-06,7.542016821244475e-06,8.259621231936598e-06,7.911360932771029e-06,7.375761651696282e-06,6.727195404630105e-06
b0028,1.5872763663580805e-06,1.425388454596744e-06,1.6861969719384043e-06,7.204269793495604e-07,2.336976275150351e-06,2.495353258563837e-06,2.3604706671405927e-06,2.1425687947984375e-06,2.0878696035049404e-06,2.3257763659993616e-06,2.664001138764482e-06,2.5490575730011765e-06,2.6347070027035737e-06,2.666747531366115e-06,2.472474523230288e-06,2.397293004985024e-06,2.492651003256301e-06,2.524517484014243e-06,2.3288528269958355e-06,2.657795314304627e-06,2.582673512415393e-06,2.7085393073109796e-06,2.486520742947976e-06,2.83602050728623e-06,,2.5362940115170168e-06,1.8412694124728289e-06,7.207934002109231e-07,7.346312245528583e-07,1.483812027570502e-06,2.0788911873697435e-06,2.8258305902973263e-06,3.3501536816698054e-06,1.9464367584967724e-06,2.365674194008198e-06,3.0255209324619068e-06,2.3701979435912367e-06,2.710792337152063e-06,2.581230748873545e-06,3.682481405903811e-06,1.912060902920202e-06,2.0954857725539915e-06,1.976775365491606e-06,2.223442479730362e-06,1.6371653201269787e-06,2.973908249053329e-06,2.022551265225896e-06,7.664812835798787e-07,6.333558697520226e-07,3.518059090921374e-06,8.908906106097979e-07,3.2666531716286277e-06,8.805888217594946e-07,4.679096763301251e-06,7.10262815886711e-06,7.5146934080893095e-06,6.771174526356835e-06,6.309142151419939e-06
b0029,7.399691079100917e-07,3.2876374366830917e-07,8.644620511951357e-07,4.7134416315679045e-07,7.74951047969527e-07,,,,,,,,,7.289437487467437e-07,,,6.614255306822629e-07,6.518725004440063e-07,7.268988134773469e-07,7.988278552922452e-07,8.416969321731173e-07,,7.131383011641714e-07,7.77932438336458e-07,,7.79227099236657e-07,,,2.127879988580264e-07,1.6314066592596953e-07,2.048578610620714e-07,2.099068738927157e-07,2.6021673157782426e-07,2.583270207833031e-07,3.619572292960226e-07,3.096819901404818e-07,2.62440823601235e-07,2.583572700176384e-07,3.943589333810377e-07,2.7399273404313277e-07,2.6826392549873416e-07,1.8775073496193216e-07,2.767384512253495e-07,3.976115442475818e-07,2.4057119873636274e-07,3.224859063470581e-07,2.5272814756039024e-07,3.6937765776738264e-07,5.816008431172151e-07,5.29207276993248e-07,7.014970998873001e-07,5.041671571853261e-07,8.562023973770854e-07,8.69971436537137e-07,9.687986620191742e-07,9.701572847727461e-07,9.500295402753861e-07,9.342292608449585e-07
b0030,2.158668632668259e-06,1.2634092902370457e-07,9.510296858313795e-07,,,,2.8491951365258305e-07,,,3.6310144612426325e-07,,,,,,,,,,3.6116796891933185e-07,,,,1.3376287608278162e-07,,,,1.485050148695833e-07,1.5454333821879128e-07,7.492552889142216e-07,7.930137795955009e-07,3.1264033901951187e-07,4.6258807570888825e-07,7.998681797648742e-07,5.122913529468036e-07,7.252921789299629e-07,5.037007067721086e-07,2.9505967434440823e-07,4.045943489066838e-07,5.996199944530721e-07,5.458060677917903e-07,1.1449007353874596e-07,1.1187490960315708e-07,7.501837165653323e-08,,1.460281463110822e-07,8.719771189963623e-08,7.734085823110531e-08,1.633389209174875e-07,9.650544022905171e-07,1.2895912516106924e-06,1.4273456294517634e-06,6.486234911101618e-07,1.2581349891687224e-06,1.3120270250604034e-06,9.434377039525007e-07,5.026400994603195e-07,1.6957624739025696e-07
b0031,2.2160177362506163e-06,3.4831205694477197e-06,1.0460307556100902e-06,9.421888277775246e-07,2.8861404873848797e-06,2.4560339752939615e-06,1.386807985805529e-06,1.945865514691722e-06,1.366602802727726e-06,2.481452171591781e-06,2.5805974893192844e-06,1.419436405980579e-06,2.8011447276759313e-06,3.0796309907658348e-06,1.5908832230926526e-06,1.6653508829319453e-06,3.683652801876732e-06,4.515742468339017e-06,4.27712659732416e-06,1.5319816973556421e-06,1.3809704541624624e-06,1.6281489690788382e-06,1.5947673019439876e-06,1.6606257799193726e-06,1.7258227390370239e-06,1.7069688516924866e-06,1.9049618765737907e-06,7.658480982842324e-06,7.766070067100864e-06,2.255896416164624e-06,2.3625907783800068e-06,2.4327475801135924e-06,3.5429643471646227e-06,2.2814798387757416e-06,3.329591877986763e-06,2.423729107071847e-06,2.175239674215646e-06,3.1739609309481792e-06,3.3412818280181683e-06,2.953136573336126e-06,2.7432469614663804e-06,4.8077354147999325e-06,3.6694898207382126e-06,5.460323982136772e-06,6.76956842851947e-06,3.879486753592485e-06,6.883857475013999e-06,5.214578632533095e-06,7.999058482132627e-06,2.2713739242409053e-06,2.008896409129522e-06,2.9619923117367725e-06,2.144678114793514e-06,2.9842400379010614e-06,3.3824674627813275e-06,3.3174548480548544e-06,3.2353336505056266e-06,5.51329113399433e-06
b0032,1.4127437210236704e-05,3.243555546898583e-05,1.2273796162214626e-05,9.885482578386678e-06,5.326294794078188e-06,5.500857214186763e-06,5.148901262014244e-06,4.892522860903376e-06,6.360638695090926e-06,6.555569084576014e-06,7.812997995980565e-06,7.633893530181973e-06,8.682999767992973e-06,1.0360062516143908e-05,8.480298626530664e-06,9.87751231209363e-06,1.189054225871844e-05,1.3526081572952407e-05,1.3428710681716212e-05,1.16650510859986e-05,1.2589872923746271e-05,1.330619249144488e-05,1.4235806721391537e-05,1.510905250356505e-05,1.619099861651007e-05,1.6513611931969715e-05,1.8886847443656663e-05,9.76205043002187e-06,8.256495141619351e-06,3.970939150585716e-06,4.49441406305771e-06,7.852142786027738e-06,6.478683394037161e-06,5.622349962929191e-06,8.039846389769925e-06,9.814137655044384e-06,1.0799646629651741e-05,9.008586896435723e-06,1.109599096509285e-05,8.001235886439127e-06,9.0817842246503e-06,1.0529678034641682e-05,1.078493607036851e-05,1.6400160632405593e-05,1.24023486390238e-05,1.2790637634977678e-05,1.4402431215054231e-05,1.554908517910045e-05,9.079645443071398e-06,9.484476992587531e-07,1.4105242602159883e-06,9.289610935002358e-07,1.4673056491747945e-06,4.890538719246015e-06,5.602406722756391e-06,7.4982389769627186e-06,1.307256749614529e-05,1.1368703605082534e-05
b0033,1.1650263922698605e-05,2.4278716478477693e-05,9.61192925973342e-06,8.24423618860092e-06,6.299455198751919e-06,6.415424367212182e-06,6.300948985184072e-06,6.66470740547383e-06,7.800922397793723e-06,7.772633666095765e-06,8.593732373327335e-06,9.24205127809885e-06,9.23097587747805e-06,1.0342067990389532e-05,9.535996440721773e-06,1.1287603023961978e-05,1.1795241751288547e-05,1.3100557752710962e-05,1.3380851114542228e-05,1.2290255847955429e-05,1.3787476891404095e-05,1.4400644821672922e-05,1.550556753225542e-05,1.6072730538398466e-05,1.6271027663072517e-05,1.752324598445382e-05,2.0457246011084938e-05,3.8124149550053997e-06,3.608652991570408e-06,2.958328215248145e-06,3.409064148238535e-06,3.8127048320949156e-06,3.3131798901474803e-06,3.926084295414188e-06,3.7185001571647505e-06,4.954931653019852e-06,5.084264359307426e-06,4.2791431154482524e-06,5.436930740892905e-06,4.854541315592876e-06,5.611955616560822e-06,4.055902836738155e-06,4.846313591753207e-06,7.87526352395117e-06,4.994583014884544e-06,6.281862257712336e-06,6.069747621447548e-06,7.403001199249375e-06,5.0190009213084724e-06,8.861988393184845e-07,2.8623746341340026e-07,4.82338641736849e-07,4.6764690770242096e-07,4.412202871266258e-06,6.012056642638907e-06,7.35024973554588e-06,9.555697019482843e-06,1.0428486340249611e-05
b0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.578483411975737e-08,,,7.485004984955704e-08,,,,,,,5.262020935973358e-08,,,1.0520998840257304e-07,,,,,,,,,,,,,,
b0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.186550924963713e-08,,6.318510701585983e-08,,,,,8.044010564966005e-08,,,,,,,,,,,,,,
b0047,,1.7606767296623374e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
