,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b1197,1.7455754908162665e-06,3.6407113473034787e-06,1.1052593225021544e-06,3.559566434704196e-07,6.615587475223702e-07,8.04891796874866e-07,5.857477137213169e-07,2.1821057735479174e-07,6.496839454420986e-07,6.167360427907216e-07,8.168728537354868e-07,,4.645097786919736e-07,2.4231941127322334e-07,5.626411034639162e-07,,3.638521420529675e-07,2.1029339281339868e-07,1.7286662232356485e-07,4.3575000102511863e-07,,2.1456842072360223e-07,,,,,,5.876672401213541e-07,5.900888593811927e-07,7.320937383427882e-07,4.7532442774534454e-07,3.960202036680773e-07,3.184340447381228e-07,3.2160361754687826e-07,2.127502593370939e-07,3.9988043570788295e-07,2.3398502978180854e-07,2.5240345246593846e-07,2.56056931418118e-07,2.623659119376503e-07,2.011839145623657e-07,1.9435176944762541e-07,9.816784345800162e-08,1.166735893618968e-07,2.2119910334982527e-07,9.458679931022837e-08,1.1821672753860446e-07,,,1.1273901797117827e-07,,8.157835837945099e-08,,8.741227838397178e-06,4.409384987036628e-06,2.3205779824618636e-06,1.5114426536679965e-06,1.184165528140925e-06
b1198,7.006966809553058e-07,2.1954451408813747e-06,7.108976755953685e-07,1.0362095089470022e-06,3.4223995992738766e-07,3.455507424130458e-07,3.290997806559569e-07,,3.8016751274498604e-07,3.745287054340846e-07,4.077460598248535e-07,3.0447237752949636e-07,4.3576418132454264e-07,4.874932229644002e-07,2.8384713333218363e-07,,5.475775360959689e-07,6.737221523952773e-07,6.382142771814339e-07,2.8441789849812806e-07,2.649619558287975e-07,2.9473943115178937e-07,,3.556358473957459e-07,4.953558828735101e-07,4.649600904422727e-07,5.515877319122248e-07,4.179966439287657e-07,4.31425623460598e-07,1.752173126243854e-07,1.9264090076018835e-07,2.612052996308965e-07,1.5200822692136567e-07,1.959100464409695e-07,2.612379958312338e-07,1.5737677390455397e-07,1.4573111132196996e-07,4.402944108797473e-07,8.524176036088336e-07,2.6301396431730013e-07,2.9333007570920105e-07,8.179511365988038e-07,7.023428550324267e-07,6.031767657778365e-07,6.704668474205883e-07,3.966219652600534e-07,8.774649687963977e-07,3.9925058522554755e-07,3.0110594045732645e-07,8.769232599352365e-07,2.70594446856646e-07,4.1557458481437095e-07,3.293956167999703e-07,3.1192972034783467e-07,,,5.423923948426052e-07,
b1199,8.336297336433723e-07,1.0755197346326427e-06,6.159280645084662e-07,3.85292208732015e-07,1.454186359362169e-06,7.452295377309174e-07,1.0524361195556798e-06,7.949291933797832e-07,6.83674811795803e-07,7.111608223241279e-07,7.147989758408019e-07,,6.447492349504322e-07,7.285933690197327e-07,5.887149847059455e-07,,6.611150041681259e-07,5.418300180097869e-07,5.687250348671748e-07,6.207616373026818e-07,,5.638545855359898e-07,5.059447113551682e-07,6.085138710514992e-07,4.499966302950368e-07,,,8.368738766792909e-08,8.893947099770895e-08,1.8035518424607991e-07,1.9133453272790772e-07,1.2003786084850821e-07,1.1061508280288209e-07,1.6525716888353182e-07,9.085663866108248e-08,9.94698869303582e-08,6.525914058930828e-08,2.310273268690286e-07,4.208337791261446e-07,1.3460429132609416e-07,1.510703202236788e-07,1.284857094974836e-07,1.2689857552278143e-07,1.6779026442781514e-07,9.078093635925283e-08,9.650777492526354e-08,9.45429877858372e-08,6.383849629745974e-08,,3.865262683500832e-07,5.74925467823524e-08,1.5243599503944578e-07,,1.6394047893099618e-06,1.134852554122393e-06,9.352356480698267e-07,9.863097997318772e-07,1.0458376040828191e-06
b1200,3.677204919089423e-06,4.579334319858811e-06,2.928909099583683e-06,1.1040990106967729e-06,3.438247709430459e-06,3.4925891331551253e-06,4.187106708406925e-06,4.201627544183757e-06,3.602015607818742e-06,2.997324132192672e-06,2.9384227789056476e-06,2.8661441831175388e-06,2.282979827578904e-06,2.462292634058619e-06,2.5566531221518684e-06,2.233834846378734e-06,1.958839168034179e-06,1.89376851493934e-06,1.9010824796964794e-06,1.8879513946175436e-06,1.705968992165374e-06,1.6357200145277007e-06,1.5327352489614352e-06,1.4671516173675482e-06,1.2878474613908696e-06,1.2903839079526697e-06,1.2142501183454893e-06,5.39769498137793e-07,6.617939491530372e-07,2.570127585192486e-06,2.1023090439484017e-06,1.8228131688067191e-06,1.41180813060775e-06,2.0777912577425635e-06,1.5671461865644397e-06,1.6046527328165873e-06,1.3223460047684103e-06,2.3596515426432553e-06,4.538177392139109e-06,2.0597582472606016e-06,1.8647906330830007e-06,9.824178947273205e-07,1.296273638224683e-06,1.3362270942014903e-06,7.175575260995649e-07,1.0912841471820268e-06,6.355943209942308e-07,5.036632598056018e-07,3.736994370307846e-07,2.941606794859911e-06,8.393578746981176e-07,1.1089026601284398e-06,5.635075990986772e-07,9.060101630596601e-06,7.445856521908339e-06,4.9166041483700965e-06,4.2751832506004805e-06,2.7819058863413517e-06
b1203,4.708021353194351e-06,7.3285585751153945e-06,4.579276639855564e-06,2.8856017602546155e-06,5.219925359639483e-06,5.147225632428484e-06,6.100231944946007e-06,6.542106352179812e-06,6.3764110075356444e-06,5.8421295811035235e-06,6.074840804442852e-06,7.38108537409029e-06,6.506101354293895e-06,7.485591672799905e-06,8.246444249408914e-06,8.23223892706614e-06,7.433892106392125e-06,7.895236508186216e-06,7.962386455193509e-06,9.007283560693056e-06,8.645365179360907e-06,9.03477984994422e-06,9.758824317933232e-06,9.036392096309508e-06,9.306199662356915e-06,9.622581813505096e-06,1.0110965710854672e-05,1.9870486763002996e-06,1.7745122742484898e-06,1.9058325651565947e-06,2.575964223652499e-06,2.398821856922341e-06,2.000872826902766e-06,2.63677646195518e-06,3.3920080136730757e-06,3.1158382426621666e-06,3.2232086348088056e-06,3.529058133249408e-06,4.0658234488308026e-06,3.177419877787294e-06,3.278596329282312e-06,3.412897149623572e-06,3.6075735601114774e-06,4.893752779855014e-06,3.0934900689594195e-06,3.590405423205995e-06,3.7524903791139158e-06,5.403142052232528e-06,5.161117580549012e-06,6.25714031043742e-06,6.7182057258377535e-06,5.224439937096769e-06,6.898184287299304e-06,3.0639459061106067e-06,4.0799944483373335e-06,4.854962930846932e-06,4.8935578809206195e-06,5.7810404551704596e-06
b1204,2.0496327138780414e-06,3.5664359388072406e-06,1.7648152140596647e-06,1.199769790652127e-06,9.073497130070982e-07,8.29606493042449e-07,9.682958808433464e-07,1.1625887142972652e-06,1.1930994095880047e-06,8.507997875458398e-07,8.724880649739987e-07,1.1043994650432567e-06,9.329031450000665e-07,1.030003602419932e-06,1.1322784622566255e-06,1.2472741227373041e-06,9.219948441844515e-07,8.406742265212989e-07,8.681128744218425e-07,1.1133360459323505e-06,,1.2623993637445457e-06,1.0658036031520486e-06,1.1632967904656847e-06,1.2670455802123982e-06,1.3696191289807963e-06,1.2794450609947461e-06,8.670340438245535e-07,7.676847549696166e-07,4.997507087699747e-07,5.381268612972033e-07,6.030126530181889e-07,6.955010843163809e-07,6.210247833456246e-07,9.59751240867611e-07,9.886763945720887e-07,8.701738841998144e-07,1.0257851465686936e-06,8.853920335145462e-07,7.651973774536074e-07,7.379736507112866e-07,1.0680690225211932e-06,8.155884712500992e-07,1.2983989828442155e-06,9.178388881543525e-07,8.781068532657322e-07,1.0495301671421164e-06,1.0168201057657918e-06,9.29031867837886e-07,1.6332245732449759e-06,1.055302878161814e-06,1.3933184809745832e-06,1.5003363858442007e-06,,,,,
b1205,1.1803916281923659e-05,1.547670656273076e-05,8.503686388458087e-07,8.80509110033175e-08,,,,,,,,,,,,,,,,,,,,,,,,3.057844683559845e-07,1.4013942106286814e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1206,1.4677595391061347e-07,4.2054017824697807e-07,7.166418622704962e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1207,2.6254908544221156e-05,2.801540991081492e-05,1.85064916298666e-05,8.968190586384756e-06,1.46425937355687e-05,1.4803588690159217e-05,1.6634236722718132e-05,1.6961503894032934e-05,1.803829591646895e-05,1.5836371451208515e-05,1.673673842413889e-05,1.9586360546246628e-05,1.6803276386622375e-05,1.629119191070636e-05,1.9543124610986896e-05,2.042489482433722e-05,1.6297692741997785e-05,1.6441462032979923e-05,1.6531559199082782e-05,2.0386203170172422e-05,2.0817236875130395e-05,2.1102092534468622e-05,2.118588168729316e-05,2.07048512428884e-05,2.1425511881454195e-05,2.1591707671250176e-05,2.2636043973689143e-05,1.0193821999091017e-05,1.247954753397167e-05,8.369857710483718e-06,8.585232980142518e-06,1.1701073004429555e-05,1.2074830825814532e-05,1.0168767150471906e-05,1.574178820491817e-05,1.657115619605867e-05,1.906296340909547e-05,1.5005348757960206e-05,1.5017050948528344e-05,1.2463724572707956e-05,1.2858467405913283e-05,1.2480608366204336e-05,1.3603108869812474e-05,1.316033792789834e-05,1.514429013301653e-05,1.4959283106078777e-05,1.250839694929931e-05,1.037447689251503e-05,1.1934714827790118e-05,1.4921608787973887e-05,8.659807424198029e-06,1.0992457999625444e-05,1.1786583279578686e-05,1.4130884301816472e-05,1.648054687507702e-05,1.660176621631237e-05,1.524208675615447e-05,1.608604308292877e-05
b1208,5.445739509625596e-07,7.308495004956747e-07,6.36408642158997e-07,2.6749018152223694e-07,4.0302511121698806e-07,,,,,,,,,,,,,,,,,,,,,,,2.6024544643070775e-07,2.8933632714954815e-07,2.453201279987428e-07,2.7336960675500787e-07,2.7315899404392135e-07,3.458034016579024e-07,2.6857959063664583e-07,3.8184344085941415e-07,3.736905949347434e-07,3.314641644696038e-07,3.3339457703212794e-07,4.191564670846979e-07,2.974369818951712e-07,2.804228789590352e-07,2.723377615682205e-07,1.4392419452413245e-07,3.294677895496539e-07,3.6904872141959583e-07,2.7060256495690417e-07,3.730049294854695e-07,3.044489086429825e-07,3.430103124758412e-07,2.5099244835350066e-07,1.7085980745601646e-07,1.8869173993533117e-07,2.2781052100538216e-07,,,,,
b1209,2.727271317955952e-06,2.9261390437104532e-06,2.329791119172651e-06,9.42986252037503e-07,1.965078278738916e-06,2.0209133451615e-06,1.6255672062196757e-06,,1.8648958108035153e-06,2.3913136353123564e-06,2.003183833473997e-06,2.0633639290024737e-06,2.0736364502188752e-06,1.985977976171551e-06,1.5232831918404646e-06,1.774640538894571e-06,2.0997683714128218e-06,2.1277283782066542e-06,2.33663904240814e-06,1.6062067391324958e-06,1.6195038473412965e-06,1.7185038090506275e-06,1.8663632001325138e-06,1.7312782377999193e-06,1.8290480475476025e-06,1.6018031745125076e-06,1.728061825245692e-06,4.81556287099335e-07,5.744898573957389e-07,3.145489755199253e-07,3.4393767249875637e-07,5.626888571982518e-07,5.391610167314529e-07,4.0439993319278884e-07,4.2982798374112013e-07,5.600307177124669e-07,5.744598705670909e-07,4.290781868468673e-07,5.512257299845146e-07,5.191090164636328e-07,4.251331312188643e-07,5.070351980773101e-07,4.921558170644768e-07,4.5358297458839165e-07,5.753581025175346e-07,4.785779249068202e-07,3.6410616996356623e-07,4.5317616735805756e-07,3.837206657529871e-07,3.55993058029023e-07,3.139190600123107e-07,2.9948817030949284e-07,2.6327643777165904e-07,5.198996403668056e-07,4.650012172502565e-07,5.385178040268634e-07,4.6635984000382833e-07,5.207047501467e-07
b1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1211,4.2639693434509414e-07,8.005325210736718e-07,4.6262580967567093e-07,2.8874665911426167e-07,,1.242589784145759e-07,,,,,,,,1.6285850600281628e-07,1.5252914881528643e-07,1.6544019507769304e-07,1.9366196750208917e-07,1.5881688237104737e-07,1.8845126491191769e-07,,,1.7337076146900098e-07,,1.57083971964337e-07,,1.941310188331447e-07,1.8475788563361196e-07,1.3139643204682745e-07,1.4397627235767737e-07,2.125860593161944e-07,1.608284199740967e-07,1.6227424777452921e-07,2.142073330148376e-07,2.4073621074863137e-07,3.498604548531093e-07,3.506902884766383e-07,1.5522937834737135e-07,2.853223017679182e-07,4.156684204530532e-07,1.3250765127428583e-07,2.6242762783778967e-07,1.7317795937603003e-07,1.1367847093804594e-07,4.0880937393273274e-07,1.759975474479044e-07,1.3462129111029798e-07,1.9307099881108462e-07,2.643946970932364e-07,3.2527060546121894e-07,3.2070381408652386e-07,5.638980333382684e-07,4.3842356283351825e-07,4.482347137548525e-07,,,,,
b1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1215,1.3119475907282657e-05,1.689590020527955e-05,9.519583349166862e-06,4.83349216317186e-06,1.6811691892967855e-05,1.7264743942382157e-05,1.5143216605656282e-05,1.6984640150781337e-05,1.6103338713192112e-05,1.744305963077331e-05,1.6763936667610738e-05,1.6994404011552024e-05,1.6777423687592144e-05,1.6339425713228023e-05,1.5781235165328417e-05,1.6340535137271345e-05,1.618618421185038e-05,1.489878166177142e-05,1.5995965435894835e-05,1.6089638369440975e-05,1.5823932087284337e-05,1.559639147408796e-05,1.63548542305416e-05,1.4601371001564005e-05,1.4826355965247962e-05,1.516357705084362e-05,1.6111283973756238e-05,5.846763830874495e-06,5.540224572099858e-06,4.422727562928431e-06,4.952247674370853e-06,5.27765854358828e-06,5.869709733076274e-06,5.579033379458831e-06,4.979684499624822e-06,5.794769716481051e-06,4.6576809991850865e-06,5.389165177441966e-06,6.114050175806457e-06,3.924243064241418e-06,6.2175837353772926e-06,6.323231933280357e-06,5.3476315003989175e-06,4.686646084934554e-06,4.932654135483964e-06,4.898759814886997e-06,7.157642080114836e-06,4.163675546085105e-06,3.300807952478761e-06,5.215424426983654e-06,3.7518853284543834e-06,4.836030769680934e-06,3.56070648827922e-06,1.2266149412858566e-05,1.2223377955801679e-05,1.2418969312954774e-05,1.1927298834245514e-05,1.2456155320913644e-05
b1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.617093308219627e-08,7.17679889733988e-08,5.1272780719590416e-08,,,,5.042419324599011e-08,6.271805185377338e-08,,,,5.922055128153137e-08,5.216821656181248e-08,6.704259877187529e-08,,,7.567394079949299e-08,,9.343081398436643e-08,1.0747742762222787e-07,,,,,6.908648897986578e-08,,,,,,
b1217,5.616998247490222e-07,9.472495081137764e-07,8.108277139396814e-07,6.283577477104384e-07,,,,,,,,,,,,,,,,,,,,,,,,6.909477290734319e-08,1.0416107777383734e-07,1.741844415251788e-07,1.2923366719338515e-07,3.1157019875777437e-07,1.3457147435137022e-07,1.1378465561163754e-07,9.172213167446895e-08,2.03298143732192e-07,1.0557314046919477e-07,1.0843630289321933e-07,1.3719650084469354e-07,1.5015754843769042e-07,1.3341177858287232e-07,1.2100092995769478e-07,5.7768069556490764e-08,1.3928186575153695e-07,3.603415828017106e-07,1.1065159538286779e-07,,,,5.067409303284402e-08,,,,1.927080577538478e-06,6.366405584514928e-07,5.960831532893127e-07,5.769114766555775e-07,6.48616566427422e-07
b1219,6.446775373746861e-06,5.398541452635857e-06,4.553812375010114e-06,1.327594291468214e-06,7.982729184626498e-06,7.935625371249924e-06,1.010493465304205e-05,8.68054978392004e-06,9.075652078513572e-06,6.876390184765536e-06,5.597865992384287e-06,7.039363374050265e-06,4.5478855382412265e-06,3.2403710262012233e-06,5.147808079302576e-06,4.332340804959758e-06,3.5967353949269324e-06,,3.2471183530946146e-06,5.462381303761986e-06,4.0702469791841135e-06,3.54482751653214e-06,3.702271332252722e-06,3.252329368567555e-06,,2.9282920733222007e-06,2.7872677211735813e-06,2.5582363256144397e-06,3.0847655418250634e-06,4.778909188908685e-06,4.285008105883255e-06,2.835871693604268e-06,6.201970663164758e-06,4.1570920963224295e-06,4.149133250685765e-06,3.985372653565829e-06,1.947963892599624e-06,3.1506258073181304e-06,2.339106943617899e-06,2.539488551478452e-06,3.39898867462154e-06,1.8584797775362437e-06,1.6326378271814587e-06,3.5812856375645786e-06,1.653583514443938e-06,1.567346104026677e-06,1.1733360586309108e-06,2.6030205571210667e-06,2.528206754269014e-06,3.2868922081334855e-06,2.760605807789491e-06,2.7987769477036922e-06,2.1072502045842604e-06,1.6747692363918233e-05,1.2569373883711295e-05,7.189932250624407e-06,5.005870695215887e-06,4.387093510005802e-06
b1221,5.991152338654364e-06,7.788320444836506e-06,4.214882638231525e-06,2.2491806279772864e-06,2.399128049849182e-06,2.510978269945291e-06,1.8516645118489626e-06,1.8308761381004236e-06,1.8025851470651594e-06,2.4643466252375405e-06,2.5469916666584376e-06,2.0910258762330054e-06,2.613259252766652e-06,2.6100872167363397e-06,1.9870464526635725e-06,2.214027710357067e-06,2.452739236851828e-06,2.225709830393185e-06,2.3894494031933223e-06,1.9770260459616194e-06,2.0336625544261122e-06,1.790533022599181e-06,1.8399772350273404e-06,1.5760948425503958e-06,1.3713073715024147e-06,1.4668440196052832e-06,,2.5274471664536348e-06,1.989155799552367e-06,1.2978422619646326e-06,1.8093439167091858e-06,2.701330016867956e-06,2.4270778166343616e-06,1.6957205411015334e-06,2.095197563452676e-06,2.3817500809006806e-06,2.102101067757216e-06,2.9606990274189013e-06,2.448094105583717e-06,2.6474083330542587e-06,1.7486819805782488e-06,2.344287058701912e-06,2.0752317787631897e-06,2.1961211927453892e-06,2.2146701530729856e-06,1.807740052453338e-06,2.757855595663844e-06,1.3210341907229721e-06,1.1499253349911154e-06,1.7452278512084183e-06,1.4588332261756678e-06,2.0707062271674916e-06,1.57327637737133e-06,2.9842400379010614e-06,3.246856784230365e-06,4.343164707640314e-06,4.114513530150306e-06,3.667073769973995e-06
b1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.173862527846992e-08,,,,,,
b1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1232,7.4343621319241725e-06,1.1951334669754206e-05,6.872519855978327e-06,4.676857903016615e-06,3.0159403218181502e-06,2.8294362358452836e-06,2.2528132550607434e-06,2.443811349439511e-06,2.8367417242436253e-06,2.9432379487396576e-06,3.3125873577355922e-06,2.8939843825721712e-06,3.548925036297181e-06,3.644479276451798e-06,3.14917419764279e-06,3.4808954490509845e-06,3.938235959459066e-06,4.642662856732606e-06,4.760875319808983e-06,3.603971871859592e-06,3.6130752747804317e-06,4.044695910814825e-06,4.284115236189141e-06,4.185862191806911e-06,4.658787076930238e-06,4.542044764021036e-06,5.232721862657754e-06,3.9434339918429015e-06,3.5188958309524943e-06,1.9975462219912744e-06,2.3218514493733307e-06,2.1471339749383867e-06,2.492471108267632e-06,2.525675505609857e-06,2.0422213399356247e-06,2.6661535257866034e-06,3.2684375490426986e-06,2.977638598646641e-06,2.586129262449134e-06,2.636219899323245e-06,3.3185899331255795e-06,3.193602126914433e-06,3.950033786380178e-06,4.082902340438484e-06,3.830849036531215e-06,3.964196678280276e-06,5.010406867432139e-06,2.910874409208185e-06,3.1070641971828468e-06,1.8009864332232967e-06,1.167563826637928e-06,1.518096421512412e-06,1.4908034059389144e-06,2.5925541299824387e-06,3.3381864248871353e-06,2.9187242295621552e-06,4.211277661821363e-06,4.465943949074209e-06
b1233,4.069607778310622e-07,2.1062092988710437e-06,3.498008288235518e-07,3.6973159761207155e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1234,8.514370797677607e-08,1.680837923491238e-07,7.847079178161646e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0109816013293477e-07,,6.17519201179001e-08,,,,,,,,,1.4789285503473845e-07,,,,,,,,,,,,,,
b1235,4.5109627310799076e-07,6.914343901219699e-07,4.2365673918348756e-07,1.343679429267451e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1236,1.334230902080771e-05,2.9426222623297962e-05,9.89739528628418e-06,6.060807834415256e-06,9.344440069794913e-06,9.599590324873136e-06,8.889452461137639e-06,9.375233197851053e-06,8.247380679827316e-06,8.724112126293103e-06,9.254873901638903e-06,8.250603323725938e-06,9.139073732394288e-06,8.81252254443636e-06,8.515501954740953e-06,8.090087406150994e-06,8.657975436948697e-06,8.620493839831916e-06,9.480984999806614e-06,8.598648924370161e-06,7.78923472778869e-06,8.238781117322472e-06,8.254682986366899e-06,7.4770412154264665e-06,8.173325678464777e-06,8.534968516854071e-06,9.141537439194076e-06,4.5812947948045475e-06,4.415964243519202e-06,2.734698380332741e-06,3.1154942209843737e-06,2.896846919581564e-06,2.3488202709093004e-06,2.5603539320667668e-06,2.0945534756287607e-06,2.694918766938342e-06,2.429840039204537e-06,2.9430680451206415e-06,3.1097746455703154e-06,2.466392055126771e-06,2.837993268045496e-06,4.517235790589381e-06,3.60526500160282e-06,2.868363053638287e-06,4.476173377173532e-06,2.8121723021378885e-06,4.755416037184963e-06,3.745454561670798e-06,3.5470032453419484e-06,2.9393207455501586e-06,3.8800034184287135e-06,2.8722150644274516e-06,3.7100488127034385e-06,8.432770153975136e-06,7.456926781381886e-06,7.323530154725634e-06,7.140820554050848e-06,7.659965403999004e-06
b1237,8.082960048884864e-05,0.00013336300498431114,5.7832914264945257e-05,2.4565866971399947e-05,0.00024177413414325986,0.00023572648964507195,0.00024640368711594587,0.0002542457095019275,0.00023421866299981264,0.00022926500740023473,0.0002143633305092754,0.0002297554373379026,0.00020180755845746585,0.00018153536947505984,0.00020887772296070595,0.0002057697406952187,0.00017352057797574417,0.00014634308568916074,0.00015172643167748334,0.0001836699920661171,0.00017698207331777832,0.00016188322286230224,0.00016143993418617924,0.0001500339603045032,0.0001484985292760804,0.00013547978495498305,0.00012363382617339903,6.927677174704042e-05,8.485602338320628e-05,6.41433345190555e-05,5.8561237159057784e-05,5.3700298633296136e-05,5.5124488316430826e-05,6.892142270785968e-05,6.735556469694308e-05,6.59760918188785e-05,5.078941819120091e-05,4.7460875819239326e-05,6.699758010497576e-05,5.263403280023197e-05,6.49335254107337e-05,6.306159421684299e-05,4.911784671771007e-05,3.9938955407179846e-05,6.161361915677618e-05,6.157469736757496e-05,3.1572663698179133e-05,3.521270066147161e-05,4.3350030209627046e-05,5.885736126889204e-05,4.542576172707378e-05,5.5284310451175294e-05,4.767498648095581e-05,0.00013190541238580444,0.0001237452222116848,0.00010711915174389185,9.054913704452405e-05,7.827322567558429e-05
b1238,1.4197796625444496e-06,1.728129017197481e-06,1.1041078410823465e-06,7.840714592928172e-07,,3.611509716258276e-07,,,,,,3.5349942173344805e-07,,,,,,5.578566443009268e-07,,4.774393659960713e-07,,,,5.544085737377914e-07,,4.935460439208859e-07,,3.2254710557019195e-07,,,,,8.965597494584866e-08,6.419911838637078e-08,1.0883071449722486e-07,8.930696082096291e-08,8.012090542166117e-08,1.234936995400992e-07,9.709349476283259e-08,7.4792868757235e-08,8.649692430835693e-08,1.2098289434434592e-07,9.151270213226166e-08,1.6268745596369576e-07,1.331659819390175e-07,1.0264469702285383e-07,,1.8834536913404505e-07,1.840636747855318e-07,1.5874904488355048e-07,2.4156862145856197e-07,1.6949062236995932e-07,2.337888304375109e-07,,,,,
b1241,1.586264039498601e-05,4.402856397843818e-05,1.0670096307108069e-05,7.644314239468853e-06,3.0564370646372664e-05,3.092763319205442e-05,2.8654189086865777e-05,2.782555944944486e-05,2.6443124437693555e-05,2.8756819757688485e-05,2.7083654876082566e-05,2.333007430798956e-05,2.8567771146401e-05,2.8199903547568083e-05,1.9639244834633673e-05,2.0145821353502472e-05,2.9245441242131512e-05,2.4455669365028166e-05,2.759013275670779e-05,1.7480132840224845e-05,1.7508587119695725e-05,1.5457425384392707e-05,1.6264724057433607e-05,1.5396094884112174e-05,1.5958313490295025e-05,1.4647575808443095e-05,1.6217780431187134e-05,2.2132719446103133e-05,2.1116708643397332e-05,2.1211835409537413e-05,1.8960432084515396e-05,1.4398691683794039e-05,9.867670495796973e-06,1.6012962597282935e-05,6.6266975763547875e-06,7.938473559310593e-06,7.903494339296645e-06,1.4137205335470075e-05,9.883961471870675e-06,1.1392818015336587e-05,1.9367809906091058e-05,9.40647414211294e-06,1.5133989766479505e-05,8.595184751430681e-06,1.5482941151568956e-05,3.3989946529843114e-05,1.5245685772481792e-05,4.7848009681532186e-06,4.9735997801188054e-06,7.402700640697404e-06,3.877088940058824e-06,6.417923696042495e-06,3.6518814776881323e-06,3.8171009455211913e-05,3.74064570804797e-05,3.877791127116856e-05,3.7733834844729256e-05,3.029321153639023e-05
